textbox22,Textbox9
generated on 04/03/2020 16:42:40 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Italy,European Region of WHO,South West Europe,2005,1,2005-01-03,2005-01-09,,67,1,,7,,0,8,,,0,0,8,,Local Outbreak
Italy,European Region of WHO,South West Europe,2005,2,2005-01-10,2005-01-16,,106,0,,27,,3,30,,,2,2,32,,Local Outbreak
Italy,European Region of WHO,South West Europe,2005,3,2005-01-17,2005-01-23,,204,6,,54,,6,66,,,9,9,75,,Local Outbreak
Italy,European Region of WHO,South West Europe,2005,4,2005-01-24,2005-01-30,,337,12,,102,,21,135,,,19,19,154,,Regional Outbreak
Italy,European Region of WHO,South West Europe,2005,5,2005-01-31,2005-02-06,,377,16,,84,,52,152,,,22,22,174,,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2005,6,2005-02-07,2005-02-13,,433,7,,78,,23,108,,,27,27,135,,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2005,7,2005-02-14,2005-02-20,,295,9,,51,,14,74,,,26,26,100,,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2005,8,2005-02-21,2005-02-27,,224,7,,34,,4,45,,,33,33,78,,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2005,9,2005-02-28,2005-03-06,,160,1,,12,,3,16,,,33,33,49,,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2005,10,2005-03-07,2005-03-13,,106,0,,8,,2,10,,,16,16,26,,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2005,11,2005-03-14,2005-03-20,,127,2,,1,,3,6,,,24,24,30,,Regional Outbreak
Italy,European Region of WHO,South West Europe,2005,12,2005-03-21,2005-03-27,,40,1,,1,,1,3,,,6,6,9,,Regional Outbreak
Italy,European Region of WHO,South West Europe,2005,13,2005-03-28,2005-04-03,,34,0,,0,,1,1,,,2,2,3,,Local Outbreak
