textbox22,Textbox9
generated on 05/03/2020 21:00:00 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Mexico,Region of the Americas of WHO,Central America and Caribbean,2005,1,2005-01-03,2005-01-09,,70,0,,0,,0,0,,,4,4,4,66,Sporadic
Mexico,Region of the Americas of WHO,Central America and Caribbean,2005,2,2005-01-10,2005-01-16,,48,0,,1,,0,1,,,1,1,2,46,Sporadic
Mexico,Region of the Americas of WHO,Central America and Caribbean,2005,3,2005-01-17,2005-01-23,,71,1,,1,,0,2,,,4,4,6,65,Sporadic
Mexico,Region of the Americas of WHO,Central America and Caribbean,2005,4,2005-01-24,2005-01-30,,87,0,,1,,0,1,,,2,2,3,84,Sporadic
Mexico,Region of the Americas of WHO,Central America and Caribbean,2005,5,2005-01-31,2005-02-06,,70,0,,1,,1,2,,,1,1,3,67,Sporadic
Mexico,Region of the Americas of WHO,Central America and Caribbean,2005,6,2005-02-07,2005-02-13,,87,0,,0,,1,1,,,2,2,3,84,Sporadic
Mexico,Region of the Americas of WHO,Central America and Caribbean,2005,7,2005-02-14,2005-02-20,,54,1,,0,,1,2,,,0,0,2,52,Sporadic
Mexico,Region of the Americas of WHO,Central America and Caribbean,2005,8,2005-02-21,2005-02-27,,28,0,,0,,0,0,,,0,0,0,28,No Activity
Mexico,Region of the Americas of WHO,Central America and Caribbean,2005,9,2005-02-28,2005-03-06,,51,0,,2,,1,3,,,1,1,4,47,Sporadic
Mexico,Region of the Americas of WHO,Central America and Caribbean,2005,10,2005-03-07,2005-03-13,,54,0,,2,,1,3,,,0,0,3,51,Sporadic
Mexico,Region of the Americas of WHO,Central America and Caribbean,2005,11,2005-03-14,2005-03-20,,44,0,,4,,0,4,,,0,0,4,40,Sporadic
