textbox22,Textbox9
generated on 05/03/2020 21:17:17 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Russian Federation,European Region of WHO,Eastern Europe,2005,1,2005-01-03,2005-01-09,,26,0,,0,,0,0,,,0,0,0,,Sporadic
Russian Federation,European Region of WHO,Eastern Europe,2005,2,2005-01-10,2005-01-16,,12,0,,0,,0,0,,,0,0,0,,Sporadic
Russian Federation,European Region of WHO,Eastern Europe,2005,3,2005-01-17,2005-01-23,,100,0,,4,,0,4,,,3,3,7,,Regional Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,4,2005-01-24,2005-01-30,,186,0,,2,,2,4,,,3,3,7,,Regional Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,5,2005-01-31,2005-02-06,,245,0,,6,,2,8,,,2,2,10,,Regional Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,6,2005-02-07,2005-02-13,,227,0,,5,,0,5,,,7,7,12,,Regional Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,7,2005-02-14,2005-02-20,,436,0,,16,,3,19,,,33,33,52,,Widespread Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,8,2005-02-21,2005-02-27,,258,1,,11,,0,12,,,19,19,31,,Widespread Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,9,2005-02-28,2005-03-06,,342,10,,15,,8,33,,,16,16,49,,Widespread Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,10,2005-03-07,2005-03-13,,351,0,,15,,3,18,,,6,6,24,,Widespread Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,11,2005-03-14,2005-03-20,,512,4,,36,,4,44,,,26,26,70,,Widespread Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,12,2005-03-21,2005-03-27,,119,0,,16,,0,16,,,7,7,23,,Widespread Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,13,2005-03-28,2005-04-03,,114,0,,3,,0,3,,,0,0,3,,Widespread Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,14,2005-04-04,2005-04-10,,42,0,,3,,0,3,,,0,0,3,,Regional Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,15,2005-04-11,2005-04-17,,38,0,,1,,0,1,,,0,0,1,,Regional Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,16,2005-04-18,2005-04-24,,6,1,,3,,0,4,,,0,0,4,,Local Outbreak
Russian Federation,European Region of WHO,Eastern Europe,2005,17,2005-04-25,2005-05-01,,,,,,,,,,,,,,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2005,18,2005-05-02,2005-05-08,,,,,,,,,,,,,,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2005,19,2005-05-09,2005-05-15,,,,,,,,,,,,,,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2005,20,2005-05-16,2005-05-22,,,,,,,,,,,,,,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2005,21,2005-05-23,2005-05-29,,,,,,,,,,,,,,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2005,22,2005-05-30,2005-06-05,,,,,,,,,,,,,,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2005,23,2005-06-06,2005-06-12,,,,,,,,,,,,,,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2005,24,2005-06-13,2005-06-19,,,,,,,,,,,,,,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2005,25,2005-06-20,2005-06-26,,,,,,,,,,,,,,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2005,26,2005-06-27,2005-07-03,,,,,,,,,,,,,,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2005,27,2005-07-04,2005-07-10,,,,,,,,,,,,,,,No Report
Russian Federation,European Region of WHO,Eastern Europe,2005,28,2005-07-11,2005-07-17,,,,,,,,,,,,,,,No Report
