textbox22,Textbox9
generated on 05/03/2020 20:07:16 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Thailand,South-East Asia Region of WHO,South-East Asia,2005,1,2005-01-03,2005-01-09,,14,0,,0,,0,0,,,1,1,1,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,2,2005-01-10,2005-01-16,,24,3,,0,,0,3,,,9,9,12,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,3,2005-01-17,2005-01-23,,27,0,,0,,0,0,,,2,2,2,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,4,2005-01-24,2005-01-30,,42,4,,0,,0,4,,,5,5,9,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,5,2005-01-31,2005-02-06,,64,4,,1,,0,5,,,15,15,20,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,6,2005-02-07,2005-02-13,,58,6,,5,,0,11,,,10,10,21,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,7,2005-02-14,2005-02-20,,56,2,,3,,0,5,,,10,10,15,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,8,2005-02-21,2005-02-27,,25,0,,1,,0,1,,,1,1,2,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,9,2005-02-28,2005-03-06,,26,3,,1,,0,4,,,1,1,5,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,10,2005-03-07,2005-03-13,,57,0,,11,,0,11,,,3,3,14,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,11,2005-03-14,2005-03-20,,38,2,,1,,0,3,,,2,2,5,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,12,2005-03-21,2005-03-27,,47,2,,4,,0,6,,,3,3,9,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,13,2005-03-28,2005-04-03,,31,0,,3,,0,3,,,1,1,4,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,14,2005-04-04,2005-04-10,,23,0,,3,,0,3,,,0,0,3,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,15,2005-04-11,2005-04-17,,32,0,,4,,0,4,,,1,1,5,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,16,2005-04-18,2005-04-24,,27,0,,4,,0,4,,,0,0,4,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,17,2005-04-25,2005-05-01,,33,0,,10,,0,10,,,0,0,10,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,18,2005-05-02,2005-05-08,,28,0,,7,,0,7,,,0,0,7,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,19,2005-05-09,2005-05-15,,16,0,,1,,0,1,,,0,0,1,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,20,2005-05-16,2005-05-22,,44,0,,4,,0,4,,,0,0,4,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,21,2005-05-23,2005-05-29,,17,0,,2,,0,2,,,0,0,2,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,22,2005-05-30,2005-06-05,,31,0,,1,,1,2,,,0,0,2,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,23,2005-06-06,2005-06-12,,24,0,,1,,0,1,,,0,0,1,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,24,2005-06-13,2005-06-19,,107,0,,35,,0,35,,,1,1,36,,Sporadic
Thailand,South-East Asia Region of WHO,South-East Asia,2005,25,2005-06-20,2005-06-26,,51,0,,6,,0,6,,,0,0,6,,Sporadic
