textbox22,Textbox9
generated on 04/03/2020 16:18:36 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,1,2018-12-31,2019-01-06,530,733,,30,29,0,25,84,0,0,3,3,87,646,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,2,2019-01-07,2019-01-13,638,892,,51,39,0,9,99,0,0,3,3,102,790,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,3,2019-01-14,2019-01-20,550,842,,53,60,0,10,123,0,0,2,2,125,717,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,4,2019-01-21,2019-01-27,543,785,,26,47,0,22,95,0,0,2,2,97,687,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,5,2019-01-28,2019-02-03,666,888,,29,23,0,55,107,0,0,3,3,110,781,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,6,2019-02-04,2019-02-10,530,775,,28,47,0,29,104,0,0,2,2,106,669,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,7,2019-02-11,2019-02-17,622,888,,28,33,0,42,103,0,0,1,1,104,784,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,8,2019-02-18,2019-02-24,676,1001,,29,45,0,50,124,0,0,1,1,125,876,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,9,2019-02-25,2019-03-03,714,1021,,26,48,0,58,132,0,0,2,2,134,887,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2019,10,2019-03-04,2019-03-10,696,965,,25,23,0,47,95,0,0,2,2,97,868,Regional Outbreak
