textbox22,Textbox9
generated on 04/03/2020 16:25:12 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Austria,European Region of WHO,South West Europe,2019,1,2018-12-31,2019-01-06,,226,0,4,0,,15,19,0,0,0,0,19,,No Report
Austria,European Region of WHO,South West Europe,2019,2,2019-01-07,2019-01-13,,506,0,15,4,,61,80,0,0,3,3,83,,No Report
Austria,European Region of WHO,South West Europe,2019,3,2019-01-14,2019-01-20,,472,0,22,4,,80,106,0,0,0,0,106,,No Report
Austria,European Region of WHO,South West Europe,2019,4,2019-01-21,2019-01-27,,914,0,29,9,,216,254,0,0,1,1,255,,No Report
Austria,European Region of WHO,South West Europe,2019,5,2019-01-28,2019-02-03,,1144,0,33,15,,270,318,0,0,0,0,318,,No Report
Austria,European Region of WHO,South West Europe,2019,6,2019-02-04,2019-02-10,,1403,0,49,11,,391,451,0,0,1,1,452,,No Report
Austria,European Region of WHO,South West Europe,2019,7,2019-02-11,2019-02-17,,1359,0,50,7,,401,458,0,0,0,0,458,,No Report
Austria,European Region of WHO,South West Europe,2019,8,2019-02-18,2019-02-24,,1206,0,34,15,,344,393,0,0,1,1,394,,No Report
Austria,European Region of WHO,South West Europe,2019,9,2019-02-25,2019-03-03,,1078,0,33,24,,320,377,0,0,1,1,378,,No Report
Austria,European Region of WHO,South West Europe,2019,10,2019-03-04,2019-03-10,,1031,0,32,20,,296,348,0,0,3,3,351,,No Report
Austria,European Region of WHO,South West Europe,2019,11,2019-03-11,2019-03-17,,884,0,20,16,,238,274,0,0,3,3,277,,No Report
Austria,European Region of WHO,South West Europe,2019,12,2019-03-18,2019-03-24,,778,0,6,14,,175,195,0,0,2,2,197,,No Report
Austria,European Region of WHO,South West Europe,2019,13,2019-03-25,2019-03-31,,368,0,2,3,,70,75,0,0,1,1,76,,No Report
Austria,European Region of WHO,South West Europe,2019,14,2019-04-01,2019-04-07,,394,0,0,3,,40,43,0,0,0,0,43,,No Report
Austria,European Region of WHO,South West Europe,2019,15,2019-04-08,2019-04-14,,286,0,0,2,,14,16,0,0,0,0,16,,No Report
Austria,European Region of WHO,South West Europe,2019,16,2019-04-15,2019-04-21,,222,0,5,3,,26,34,0,0,0,0,34,,No Report
Austria,European Region of WHO,South West Europe,2019,17,2019-04-22,2019-04-28,,152,0,1,0,,8,9,0,0,0,0,9,,No Report
Austria,European Region of WHO,South West Europe,2019,18,2019-04-29,2019-05-05,,68,0,0,0,,1,1,0,0,0,0,1,,No Report
Austria,European Region of WHO,South West Europe,2019,19,2019-05-06,2019-05-12,,63,0,0,1,,1,2,0,0,0,0,2,,No Report
Austria,European Region of WHO,South West Europe,2019,20,2019-05-13,2019-05-19,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,21,2019-05-20,2019-05-26,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,22,2019-05-27,2019-06-02,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,23,2019-06-03,2019-06-09,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,24,2019-06-10,2019-06-16,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,25,2019-06-17,2019-06-23,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,26,2019-06-24,2019-06-30,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,27,2019-07-01,2019-07-07,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,28,2019-07-08,2019-07-14,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,29,2019-07-15,2019-07-21,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,30,2019-07-22,2019-07-28,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,31,2019-07-29,2019-08-04,,,,,,,,,,,,,,,No Report
Austria,European Region of WHO,South West Europe,2019,32,2019-08-05,2019-08-11,,,,,,,,,,,,,,,No Report
