textbox22,Textbox9
generated on 04/03/2020 15:49:09 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,1,2018-12-31,2019-01-06,25,25,,1,2,0,0,3,1,0,0,1,4,21,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,2,2019-01-07,2019-01-13,18,18,,2,0,0,0,2,1,0,0,1,3,23,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,3,2019-01-14,2019-01-20,27,27,,2,4,0,0,6,0,0,0,0,6,22,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,4,2019-01-21,2019-01-27,25,25,,0,2,0,0,2,1,0,0,1,3,22,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,5,2019-01-28,2019-02-03,33,33,,6,1,0,0,7,0,1,0,1,8,25,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,6,2019-02-04,2019-02-10,22,22,,2,0,0,0,2,1,1,0,2,4,20,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,7,2019-02-11,2019-02-17,16,16,,1,0,0,0,1,0,1,0,1,2,14,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,8,2019-02-18,2019-02-24,16,16,,0,0,0,0,0,0,1,0,1,1,15,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,9,2019-02-25,2019-03-03,12,11,,1,0,0,0,1,1,0,0,1,2,9,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,10,2019-03-04,2019-03-10,9,9,,0,0,0,0,0,0,0,0,0,0,9,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,11,2019-03-11,2019-03-17,11,11,,2,0,0,0,2,0,0,0,0,2,9,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,12,2019-03-18,2019-03-24,12,11,,1,0,0,0,1,0,0,0,0,1,10,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,13,2019-03-25,2019-03-31,14,14,,1,0,0,0,1,0,1,0,1,2,12,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,14,2019-04-01,2019-04-07,20,19,,2,0,0,0,2,1,1,0,2,4,15,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,15,2019-04-08,2019-04-14,21,20,,1,0,0,0,1,0,1,0,1,2,19,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,16,2019-04-15,2019-04-21,4,4,,1,0,0,0,1,1,1,0,2,3,1,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,17,2019-04-22,2019-04-28,20,20,,1,0,0,0,1,0,0,0,0,1,19,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,18,2019-04-29,2019-05-05,8,8,,0,0,0,0,0,0,0,0,0,0,8,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,19,2019-05-06,2019-05-12,9,9,,0,0,0,0,0,0,0,0,0,0,9,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,20,2019-05-13,2019-05-19,22,21,,1,0,0,0,1,1,1,0,2,3,19,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,21,2019-05-20,2019-05-26,9,9,,1,0,0,0,1,0,1,0,1,2,7,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,22,2019-05-27,2019-06-02,17,17,,2,0,0,0,2,1,3,0,4,6,11,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,23,2019-06-03,2019-06-09,8,8,,1,0,0,0,1,0,1,0,1,2,6,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,24,2019-06-10,2019-06-16,18,18,,1,0,0,0,1,0,5,0,5,6,12,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,25,2019-06-17,2019-06-23,22,20,,1,0,0,0,1,0,0,0,0,1,19,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,26,2019-06-24,2019-06-30,4,4,,0,0,0,0,0,0,0,0,0,0,4,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,27,2019-07-01,2019-07-07,14,14,,0,0,0,0,0,0,2,0,2,2,12,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,28,2019-07-08,2019-07-14,11,0,,0,0,0,0,0,0,0,0,0,0,11,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,29,2019-07-15,2019-07-21,3,3,,0,0,0,0,0,0,1,0,1,1,2,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,30,2019-07-22,2019-07-28,15,15,,3,0,0,0,3,0,0,0,0,3,12,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,31,2019-07-29,2019-08-04,13,13,,1,0,0,0,1,0,0,0,0,1,12,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,32,2019-08-05,2019-08-11,4,4,,0,0,0,0,0,0,0,0,0,0,4,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,33,2019-08-12,2019-08-18,4,3,,1,0,0,0,1,0,0,0,0,1,3,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,34,2019-08-19,2019-08-25,10,10,,0,0,0,0,0,0,0,0,0,0,10,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,35,2019-08-26,2019-09-01,1,1,,0,0,0,0,0,0,0,0,0,0,1,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,36,2019-09-02,2019-09-08,15,15,,2,0,0,0,2,0,1,0,1,3,12,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,37,2019-09-09,2019-09-15,12,12,,4,0,0,0,4,0,0,0,0,4,8,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,38,2019-09-16,2019-09-22,14,14,,2,0,0,0,2,0,0,0,0,2,12,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,39,2019-09-23,2019-09-29,28,27,,2,0,0,0,2,0,0,0,0,2,25,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,40,2019-09-30,2019-10-06,17,17,,3,0,0,0,3,0,0,0,0,3,14,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,41,2019-10-07,2019-10-13,19,14,,1,0,0,0,1,0,1,0,1,2,12,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,42,2019-10-14,2019-10-20,9,8,,3,0,0,0,3,0,1,0,1,4,4,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,43,2019-10-21,2019-10-27,35,34,,5,0,0,0,5,0,2,0,2,7,27,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,44,2019-10-28,2019-11-03,36,32,,11,0,0,0,11,0,1,0,1,12,20,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,45,2019-11-04,2019-11-10,25,23,,5,1,0,0,6,0,3,0,3,9,14,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,46,2019-11-11,2019-11-17,36,31,,7,1,0,0,8,0,1,0,1,9,22,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,47,2019-11-18,2019-11-24,31,31,,8,1,0,0,9,0,2,0,2,11,19,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,48,2019-11-25,2019-12-01,36,35,,5,0,0,0,5,0,10,0,10,15,20,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,49,2019-12-02,2019-12-08,25,25,,4,3,0,0,7,0,3,0,3,10,14,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,50,2019-12-09,2019-12-15,32,29,,5,5,0,0,10,0,3,0,3,13,13,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,51,2019-12-16,2019-12-22,14,14,,1,3,0,0,4,0,1,0,1,5,8,Sporadic
Bahrain,Eastern Mediterranean Region of WHO,Western Asia,2019,52,2019-12-23,2019-12-29,33,33,,6,2,0,0,8,0,2,0,2,10,22,Sporadic

