textbox22,Textbox9
generated on 04/03/2020 16:23:02 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Canada,Region of the Americas of WHO,North America,2019,1,2018-12-31,2019-01-06,14349,14349,,893,58,,2387,3338,,,31,31,3369,,No Report
Canada,Region of the Americas of WHO,North America,2019,2,2019-01-07,2019-01-13,13442,13442,,1061,93,,1985,3139,,,43,43,3182,,No Report
Canada,Region of the Americas of WHO,North America,2019,3,2019-01-14,2019-01-20,11505,11505,,585,101,,1613,2299,,,40,40,2339,,No Report
Canada,Region of the Americas of WHO,North America,2019,4,2019-01-21,2019-01-27,11066,11066,,532,93,,1483,2108,,,48,48,2156,,No Report
Canada,Region of the Americas of WHO,North America,2019,5,2019-01-28,2019-02-03,10393,10393,,433,112,,1449,1994,,,43,43,2037,,No Report
Canada,Region of the Americas of WHO,North America,2019,6,2019-02-04,2019-02-10,9552,9552,,315,118,,1234,1667,,,42,42,1709,,No Report
Canada,Region of the Americas of WHO,North America,2019,7,2019-02-11,2019-02-17,9343,9343,,244,128,,1116,1488,,,33,33,1521,,No Report
Canada,Region of the Americas of WHO,North America,2019,8,2019-02-18,2019-02-24,8927,8927,,216,236,,1066,1518,,,40,40,1558,,No Report
Canada,Region of the Americas of WHO,North America,2019,9,2019-02-25,2019-03-03,8603,8603,,213,285,,1172,1670,,,64,64,1734,,No Report
Canada,Region of the Americas of WHO,North America,2019,10,2019-03-04,2019-03-10,8814,8814,,268,335,,1085,1688,,,71,71,1759,,No Report
Canada,Region of the Americas of WHO,North America,2019,11,2019-03-11,2019-03-17,8541,8541,,197,357,,990,1544,,,90,90,1634,,No Report
