textbox22,Textbox9
generated on 04/03/2020 16:12:55 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
France,European Region of WHO,South West Europe,2019,1,2018-12-31,2019-01-06,,6608,0,60,149,,497,706,0,0,4,4,710,,No Report
France,European Region of WHO,South West Europe,2019,2,2019-01-07,2019-01-13,,7427,0,91,173,,710,974,0,0,16,16,990,,No Report
France,European Region of WHO,South West Europe,2019,3,2019-01-14,2019-01-20,,8119,0,132,230,,1178,1540,0,0,14,14,1554,,No Report
France,European Region of WHO,South West Europe,2019,4,2019-01-21,2019-01-27,,9903,0,219,402,,2084,2705,0,0,7,7,2712,,No Report
France,European Region of WHO,South West Europe,2019,5,2019-01-28,2019-02-03,,11676,0,294,572,,3023,3889,0,0,8,8,3897,,No Report
France,European Region of WHO,South West Europe,2019,6,2019-02-04,2019-02-10,,13154,0,314,530,,3678,4522,0,0,11,11,4533,,No Report
France,European Region of WHO,South West Europe,2019,7,2019-02-11,2019-02-17,,12365,0,252,546,,3129,3927,0,0,12,12,3939,,No Report
France,European Region of WHO,South West Europe,2019,8,2019-02-18,2019-02-24,,10835,0,183,378,,2230,2791,0,0,9,9,2800,,No Report
France,European Region of WHO,South West Europe,2019,9,2019-02-25,2019-03-03,,8376,0,118,256,,1141,1515,0,0,5,5,1520,,No Report
France,European Region of WHO,South West Europe,2019,10,2019-03-04,2019-03-10,,6145,0,48,126,,523,697,0,0,8,8,705,,No Report
France,European Region of WHO,South West Europe,2019,11,2019-03-11,2019-03-17,,4626,0,21,84,,240,345,0,0,5,5,350,,No Report
France,European Region of WHO,South West Europe,2019,12,2019-03-18,2019-03-24,,3940,0,15,42,,139,196,0,0,6,6,202,,No Report
France,European Region of WHO,South West Europe,2019,13,2019-03-25,2019-03-31,,3081,0,11,32,,55,98,0,2,4,6,104,,No Report
France,European Region of WHO,South West Europe,2019,14,2019-04-01,2019-04-07,,2518,0,3,23,,40,66,0,0,3,3,69,,No Report
France,European Region of WHO,South West Europe,2019,15,2019-04-08,2019-04-14,,2295,0,2,14,,31,47,0,0,5,5,52,,No Report
France,European Region of WHO,South West Europe,2019,16,2019-04-15,2019-04-21,,1737,0,2,8,,17,27,0,0,2,2,29,,No Report
France,European Region of WHO,South West Europe,2019,17,2019-04-22,2019-04-28,,826,0,1,2,,6,9,0,0,1,1,10,,No Report
France,European Region of WHO,South West Europe,2019,18,2019-04-29,2019-05-05,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,19,2019-05-06,2019-05-12,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,20,2019-05-13,2019-05-19,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,21,2019-05-20,2019-05-26,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,22,2019-05-27,2019-06-02,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,23,2019-06-03,2019-06-09,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,24,2019-06-10,2019-06-16,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,25,2019-06-17,2019-06-23,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,26,2019-06-24,2019-06-30,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,27,2019-07-01,2019-07-07,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,28,2019-07-08,2019-07-14,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,29,2019-07-15,2019-07-21,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,30,2019-07-22,2019-07-28,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,31,2019-07-29,2019-08-04,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2019,32,2019-08-05,2019-08-11,,,,,,,,,,,,,,,No Report
