textbox22,Textbox9
generated on 04/03/2020 16:13:34 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Germany,European Region of WHO,South West Europe,2019,1,2018-12-31,2019-01-06,,95,0,8,4,,0,12,0,0,0,0,12,,No Report
Germany,European Region of WHO,South West Europe,2019,2,2019-01-07,2019-01-13,,139,0,11,13,,0,24,0,0,0,0,24,,No Report
Germany,European Region of WHO,South West Europe,2019,3,2019-01-14,2019-01-20,,173,0,19,13,,0,32,0,0,0,0,32,,No Report
Germany,European Region of WHO,South West Europe,2019,4,2019-01-21,2019-01-27,,209,0,36,22,,0,58,0,0,0,0,58,,No Report
Germany,European Region of WHO,South West Europe,2019,5,2019-01-28,2019-02-03,,259,0,75,42,,0,117,0,0,0,0,117,,No Report
Germany,European Region of WHO,South West Europe,2019,6,2019-02-04,2019-02-10,,284,0,76,64,,0,140,0,0,0,0,140,,No Report
Germany,European Region of WHO,South West Europe,2019,7,2019-02-11,2019-02-17,,280,0,76,63,,0,139,0,0,0,0,139,,No Report
Germany,European Region of WHO,South West Europe,2019,8,2019-02-18,2019-02-24,,279,0,81,55,,0,136,0,0,0,0,136,,No Report
Germany,European Region of WHO,South West Europe,2019,9,2019-02-25,2019-03-03,,263,0,64,71,,0,135,0,0,0,0,135,,No Report
Germany,European Region of WHO,South West Europe,2019,10,2019-03-04,2019-03-10,,220,0,35,63,,0,98,0,0,0,0,98,,No Report
Germany,European Region of WHO,South West Europe,2019,11,2019-03-11,2019-03-17,,194,0,31,53,,0,84,0,0,0,0,84,,No Report
Germany,European Region of WHO,South West Europe,2019,12,2019-03-18,2019-03-24,,162,0,30,40,,0,70,0,0,0,0,70,,No Report
Germany,European Region of WHO,South West Europe,2019,13,2019-03-25,2019-03-31,,128,0,9,27,,0,36,0,0,0,0,36,,No Report
Germany,European Region of WHO,South West Europe,2019,14,2019-04-01,2019-04-07,,110,0,17,18,,0,35,0,0,0,0,35,,No Report
Germany,European Region of WHO,South West Europe,2019,15,2019-04-08,2019-04-14,,101,0,6,12,,0,18,0,0,0,0,18,,No Report
Germany,European Region of WHO,South West Europe,2019,16,2019-04-15,2019-04-21,,52,0,2,11,,0,13,0,0,0,0,13,,No Report
Germany,European Region of WHO,South West Europe,2019,17,2019-04-22,2019-04-28,,25,0,0,2,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2019,18,2019-04-29,2019-05-05,,31,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2019,19,2019-05-06,2019-05-12,,30,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,20,2019-05-13,2019-05-19,,35,0,1,1,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2019,21,2019-05-20,2019-05-26,,29,0,1,1,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2019,22,2019-05-27,2019-06-02,,14,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,23,2019-06-03,2019-06-09,,29,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,24,2019-06-10,2019-06-16,,22,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,25,2019-06-17,2019-06-23,,26,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,26,2019-06-24,2019-06-30,,24,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,27,2019-07-01,2019-07-07,,125,0,2,1,,0,3,1,0,0,1,4,,No Report
Germany,European Region of WHO,South West Europe,2019,28,2019-07-08,2019-07-14,,25,0,0,2,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2019,29,2019-07-15,2019-07-21,,22,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,30,2019-07-22,2019-07-28,,22,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2019,31,2019-07-29,2019-08-04,,10,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2019,32,2019-08-05,2019-08-11,,22,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,33,2019-08-12,2019-08-18,,19,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,34,2019-08-19,2019-08-25,,8,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,35,2019-08-26,2019-09-01,,16,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,36,2019-09-02,2019-09-08,,21,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,37,2019-09-09,2019-09-15,,30,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2019,38,2019-09-16,2019-09-22,,36,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,39,2019-09-23,2019-09-29,,,,,,,,,,,,,,,No Report
Germany,European Region of WHO,South West Europe,2019,40,2019-09-30,2019-10-06,,38,0,0,1,,0,1,0,0,0,0,1,,No Report
Germany,European Region of WHO,South West Europe,2019,41,2019-10-07,2019-10-13,,76,0,1,1,,0,2,0,0,0,0,2,,No Report
Germany,European Region of WHO,South West Europe,2019,42,2019-10-14,2019-10-20,,84,0,2,3,,0,5,0,0,0,0,5,,No Report
Germany,European Region of WHO,South West Europe,2019,43,2019-10-21,2019-10-27,,66,0,0,0,,0,0,0,0,0,0,0,,No Report
Germany,European Region of WHO,South West Europe,2019,44,2019-10-28,2019-11-03,,64,0,0,0,,0,0,0,0,0,0,0,,No Report
