textbox22,Textbox9
generated on 04/03/2020 16:24:27 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
India,South-East Asia Region of WHO,Southern Asia,2019,1,2018-12-31,2019-01-06,1098,1069,,178,86,,,264,5,,,5,269,800,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,2,2019-01-07,2019-01-13,1876,1855,,316,182,,,498,3,1,,4,502,1353,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,3,2019-01-14,2019-01-20,1916,1866,,307,187,,,494,2,,1,3,497,1369,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,4,2019-01-21,2019-01-27,2041,2041,,365,236,,,601,4,,,4,605,1436,Regional Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,5,2019-01-28,2019-02-03,2754,2723,,490,181,,,672,2,,,2,674,2051,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,6,2019-02-04,2019-02-10,2927,2915,,534,205,,,739,6,,2,8,747,2168,Regional Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,7,2019-02-11,2019-02-17,3073,3068,,590,278,,,868,2,,1,3,871,2197,Regional Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,8,2019-02-18,2019-02-24,2849,2800,,485,121,,,606,3,2,0,5,611,2189,Regional Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,9,2019-02-25,2019-03-03,2802,2752,,515,97,,,612,2,4,0,6,618,2134,Regional Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,10,2019-03-04,2019-03-10,2194,2182,,402,46,,,448,,3,0,3,451,1731,Regional Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,11,2019-03-11,2019-03-17,2018,1993,,375,55,,,430,2,3,0,5,435,1558,Regional Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,12,2019-03-18,2019-03-24,1230,1218,,183,28,,,211,1,7,6,14,225,993,Regional Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,13,2019-03-25,2019-03-31,1462,1446,,222,20,,,242,6,8,2,16,258,1188,Regional Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,14,2019-04-01,2019-04-07,1149,1123,,144,17,,,161,9,9,,18,179,944,Regional Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,15,2019-04-08,2019-04-14,921,921,,112,20,,,132,28,2,0,30,162,759,Regional Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,16,2019-04-15,2019-04-21,665,641,,58,27,,,85,4,2,0,6,91,550,Regional Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,17,2019-04-22,2019-04-28,745,743,,73,11,,,84,9,8,,17,101,642,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,18,2019-04-29,2019-05-05,717,708,,40,7,,,47,5,9,1,15,62,646,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,19,2019-05-06,2019-05-12,498,487,,41,10,,,51,0,5,1,6,57,430,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,20,2019-05-13,2019-05-19,508,507,,45,10,,,55,0,4,4,8,63,444,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,21,2019-05-20,2019-05-26,567,561,,55,8,,,63,1,8,1,10,73,488,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,22,2019-05-27,2019-06-02,650,631,,56,12,,,68,,2,3,5,73,558,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,23,2019-06-03,2019-06-09,324,312,,25,20,,,45,,4,3,7,52,260,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,24,2019-06-10,2019-06-16,566,565,,42,32,,,74,,8,1,9,83,482,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,25,2019-06-17,2019-06-23,531,516,,34,36,,,70,,7,10,17,87,429,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,26,2019-06-24,2019-06-30,612,611,,41,65,,,106,0,14,5,19,125,486,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,27,2019-07-01,2019-07-07,644,661,,59,79,,,138,0,6,22,28,166,495,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,28,2019-07-08,2019-07-14,500,492,,30,44,,0,74,0,7,12,19,93,408,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,29,2019-07-15,2019-07-21,819,819,,77,83,,,160,0,21,34,55,215,604,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,30,2019-07-22,2019-07-28,725,710,,54,51,,,105,11,13,48,72,177,527,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,31,2019-07-29,2019-08-04,737,737,,27,42,,,69,1,22,41,64,133,604,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,32,2019-08-05,2019-08-11,,,,40,74,,,114,0,16,40,56,170,596,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,33,2019-08-12,2019-08-18,,,,31,63,,,94,0,20,18,38,132,512,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,34,2019-08-19,2019-08-25,,,,28,104,,,132,2,39,46,87,219,661,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,35,2019-08-26,2019-09-01,,,,20,79,,,99,,29,41,70,169,646,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,36,2019-09-02,2019-09-08,,,,28,100,,,128,,22,46,68,196,786,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,37,2019-09-09,2019-09-15,,,,12,46,,,58,0,16,24,40,98,482,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,38,2019-09-16,2019-09-22,,,,33,77,,,110,0,33,23,56,166,742,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,39,2019-09-23,2019-09-29,,,,29,40,,,69,0,51,20,71,140,855,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,40,2019-09-30,2019-10-06,,,,12,24,,,36,0,3,22,25,61,502,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,41,2019-10-07,2019-10-13,,,,9,25,,,34,0,6,15,21,55,578,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,42,2019-10-14,2019-10-20,,,,6,8,,,14,0,14,15,29,43,,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,43,2019-10-21,2019-10-27,,,,6,13,,,19,0,11,11,22,41,,Local Outbreak
India,South-East Asia Region of WHO,Southern Asia,2019,44,2019-10-28,2019-11-03,,,,5,11,,,16,0,7,9,16,32,,Sporadic
India,South-East Asia Region of WHO,Southern Asia,2019,45,2019-11-04,2019-11-10,,,,9,9,0,0,18,0,1,12,13,31,,Sporadic
India,South-East Asia Region of WHO,Southern Asia,2019,46,2019-11-11,2019-11-17,,,,11,14,,,25,,2,2,4,29,,Sporadic
India,South-East Asia Region of WHO,Southern Asia,2019,47,2019-11-18,2019-11-24,,,,8,8,,,16,,3,16,19,35,,Sporadic
India,South-East Asia Region of WHO,Southern Asia,2019,48,2019-11-25,2019-12-01,,,,6,4,,,10,,,2,2,12,,Sporadic
India,South-East Asia Region of WHO,Southern Asia,2019,49,2019-12-02,2019-12-08,,,,1,2,,,3,,3,1,4,7,,Sporadic
India,South-East Asia Region of WHO,Southern Asia,2019,50,2019-12-09,2019-12-15,,,,3,2,,,5,,,4,4,9,,Sporadic
India,South-East Asia Region of WHO,Southern Asia,2019,51,2019-12-16,2019-12-22,,,,4,1,,,5,,,3,3,8,,Sporadic
India,South-East Asia Region of WHO,Southern Asia,2019,52,2019-12-23,2019-12-29,,,,7,4,,,11,,1,2,3,14,,Sporadic

