textbox22,Textbox9
generated on 04/03/2020 15:44:53 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2019,1,2018-12-31,2019-01-06,1097,1097,,5,274,0,38,317,0,0,2,2,319,778,Regional Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2019,2,2019-01-07,2019-01-13,1306,1306,,5,319,0,63,387,0,0,1,1,388,918,Regional Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2019,3,2019-01-14,2019-01-20,1159,1159,,7,248,0,79,334,0,0,1,1,335,824,Regional Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2019,4,2019-01-21,2019-01-27,1035,1035,,4,186,0,61,251,0,0,1,1,252,783,Regional Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2019,5,2019-01-28,2019-02-03,889,889,,4,116,0,49,169,0,0,4,4,173,716,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2019,6,2019-02-04,2019-02-10,580,580,,5,59,0,17,81,0,0,2,2,83,487,Regional Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2019,7,2019-02-11,2019-02-17,377,377,,0,53,0,5,58,0,0,0,0,58,319,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2019,8,2019-02-18,2019-02-24,478,478,,3,25,0,13,41,0,0,0,0,41,437,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2019,9,2019-02-25,2019-03-03,270,270,,3,11,0,7,21,0,0,2,2,23,247,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2019,10,2019-03-04,2019-03-10,266,266,,1,25,0,0,26,0,0,1,1,27,239,Local Outbreak
