textbox22,Textbox9
generated on 04/03/2020 16:23:42 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,1,2018-12-31,2019-01-06,21,21,,1,4,,,5,,,0,0,5,16,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,2,2019-01-07,2019-01-13,49,49,,5,15,,,20,,,0,0,20,29,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,3,2019-01-14,2019-01-20,58,58,,,23,,,23,,,0,0,23,35,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,4,2019-01-21,2019-01-27,33,33,,,8,,,8,,,0,0,8,25,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,5,2019-01-28,2019-02-03,32,32,,,5,,,5,,,0,0,5,27,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,6,2019-02-04,2019-02-10,35,35,,1,4,,,5,,,0,0,5,30,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,7,2019-02-11,2019-02-17,29,29,,2,2,,,4,,,0,0,4,25,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,8,2019-02-18,2019-02-24,30,30,,,4,,,4,,,0,0,4,26,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,9,2019-02-25,2019-03-03,36,36,,,,,,0,,,0,0,0,36,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,10,2019-03-04,2019-03-10,30,30,,,,,,0,,,0,0,0,30,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,11,2019-03-11,2019-03-17,22,22,,,,,,0,,,0,0,0,22,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,12,2019-03-18,2019-03-24,22,22,,1,,,,1,,,0,0,1,21,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,13,2019-03-25,2019-03-31,25,25,,,,,,0,,,0,0,0,25,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,14,2019-04-01,2019-04-07,30,30,,1,,,,1,,,0,0,1,29,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,15,2019-04-08,2019-04-14,6,6,,,,,,0,,,0,0,0,6,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,16,2019-04-15,2019-04-21,24,24,,1,,,,1,,,0,0,1,23,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,17,2019-04-22,2019-04-28,5,5,,,,,,0,,,0,0,0,5,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,18,2019-04-29,2019-05-05,16,16,,,,,,0,,,0,0,0,16,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,19,2019-05-06,2019-05-12,10,10,,,,,,0,,,0,0,0,10,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,20,2019-05-13,2019-05-19,9,9,,1,,,,1,,,0,0,1,8,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,21,2019-05-20,2019-05-26,5,5,,,,,,0,,,0,0,0,5,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,22,2019-05-27,2019-06-02,5,5,,,,,,0,,,0,0,0,5,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,23,2019-06-03,2019-06-09,0,0,,,,,,0,,,0,0,0,,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,24,2019-06-10,2019-06-16,10,10,,,,,,0,,,0,0,0,10,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,25,2019-06-17,2019-06-23,14,14,,,,,,0,,,0,0,0,14,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,26,2019-06-24,2019-06-30,12,12,,,,,,0,,,0,0,0,12,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,27,2019-07-01,2019-07-07,5,5,,,,,,0,,,0,0,0,5,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,28,2019-07-08,2019-07-14,5,5,,,,,,0,,,0,0,0,5,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,29,2019-07-15,2019-07-21,3,3,,,,,,0,,,0,0,0,3,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,30,2019-07-22,2019-07-28,7,7,,,,,,0,,,0,0,0,7,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,31,2019-07-29,2019-08-04,7,7,,,,,,0,,,0,0,0,7,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,32,2019-08-05,2019-08-11,1,1,,,,,,0,,,0,0,0,1,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,33,2019-08-12,2019-08-18,,,,,,,,,,,,,,,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,34,2019-08-19,2019-08-25,4,4,,,,,,0,,,0,0,0,1,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,35,2019-08-26,2019-09-01,9,9,,,,,,0,,,0,0,0,9,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,36,2019-09-02,2019-09-08,8,8,,,,,,0,,,0,0,0,8,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,37,2019-09-09,2019-09-15,,,,,,,,,,,,,,,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,38,2019-09-16,2019-09-22,10,10,,,,,,0,,,0,0,0,10,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,39,2019-09-23,2019-09-29,6,6,,,,,,0,,,0,0,0,6,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,40,2019-09-30,2019-10-06,6,6,,,,,,0,,,0,0,0,6,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,41,2019-10-07,2019-10-13,7,7,,,,,,0,,,0,0,0,7,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,42,2019-10-14,2019-10-20,1,1,,,,,,0,,,0,0,0,1,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,43,2019-10-21,2019-10-27,1,1,,1,,,,1,,,0,0,1,,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,44,2019-10-28,2019-11-03,10,10,,5,1,,,6,,,0,0,6,4,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,45,2019-11-04,2019-11-10,12,12,,8,,,,8,,,1,1,9,3,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,46,2019-11-11,2019-11-17,46,46,,29,,,,29,,,0,0,29,17,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,47,2019-11-18,2019-11-24,36,36,,24,,,,24,,,0,0,24,12,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,48,2019-11-25,2019-12-01,37,37,,25,,,,25,,,2,2,27,10,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,49,2019-12-02,2019-12-08,44,44,,28,,,,28,,,4,4,32,12,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,50,2019-12-09,2019-12-15,83,83,,29,,,,29,,,9,9,38,45,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,51,2019-12-16,2019-12-22,123,123,,41,,,,41,,,20,20,61,62,No Report
Iraq,Eastern Mediterranean Region of WHO,Western Asia,2019,52,2019-12-23,2019-12-29,190,190,,60,,,,60,,,35,35,95,95,No Report

