textbox22,Textbox9
generated on 04/03/2020 15:43:05 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Italy,European Region of WHO,South West Europe,2019,1,2018-12-31,2019-01-06,671,671,,97,41,,3,141,,,0,0,141,530,Local Outbreak
Italy,European Region of WHO,South West Europe,2019,2,2019-01-07,2019-01-13,974,974,,169,81,,15,265,1,1,1,3,268,706,Local Outbreak
Italy,European Region of WHO,South West Europe,2019,3,2019-01-14,2019-01-20,1387,1387,,344,176,,41,561,1,,1,2,563,824,Regional Outbreak
Italy,European Region of WHO,South West Europe,2019,4,2019-01-21,2019-01-27,1613,1613,,455,257,,14,726,,1,,1,727,886,Regional Outbreak
Italy,European Region of WHO,South West Europe,2019,5,2019-01-28,2019-02-03,1770,1770,,454,316,,62,832,,,0,0,832,938,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2019,6,2019-02-04,2019-02-10,1839,1839,,443,391,,84,918,,,0,0,918,921,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2019,7,2019-02-11,2019-02-17,1628,1628,,333,378,,30,741,,,0,0,741,887,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2019,8,2019-02-18,2019-02-24,1524,1524,,238,342,,81,661,,,2,2,663,861,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2019,9,2019-02-25,2019-03-03,1189,1189,,116,297,,54,467,,,0,0,467,722,Widespread Outbreak
Italy,European Region of WHO,South West Europe,2019,10,2019-03-04,2019-03-10,1061,1061,,67,223,0,39,329,0,0,0,0,329,732,Regional Outbreak
Italy,European Region of WHO,South West Europe,2019,11,2019-03-11,2019-03-17,869,869,,37,137,,18,192,,,0,0,192,677,Regional Outbreak
Italy,European Region of WHO,South West Europe,2019,12,2019-03-18,2019-03-24,624,624,,21,101,,17,139,,,0,0,139,485,Regional Outbreak
Italy,European Region of WHO,South West Europe,2019,13,2019-03-25,2019-03-31,454,454,,14,45,,3,62,,,0,0,62,392,Local Outbreak
Italy,European Region of WHO,South West Europe,2019,14,2019-04-01,2019-04-07,409,409,,5,32,,4,41,,,0,0,41,368,Sporadic
Italy,European Region of WHO,South West Europe,2019,15,2019-04-08,2019-04-14,307,307,,6,18,,,24,,,0,0,24,283,Sporadic
Italy,European Region of WHO,South West Europe,2019,16,2019-04-15,2019-04-21,203,200,,2,7,,1,10,,,0,0,10,190,Sporadic
Italy,European Region of WHO,South West Europe,2019,17,2019-04-22,2019-04-28,84,82,,2,2,,,4,,,0,0,4,78,Sporadic
Italy,European Region of WHO,South West Europe,2019,18,2019-04-29,2019-05-05,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,19,2019-05-06,2019-05-12,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,20,2019-05-13,2019-05-19,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,21,2019-05-20,2019-05-26,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,22,2019-05-27,2019-06-02,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,23,2019-06-03,2019-06-09,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,24,2019-06-10,2019-06-16,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,25,2019-06-17,2019-06-23,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,26,2019-06-24,2019-06-30,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,27,2019-07-01,2019-07-07,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,28,2019-07-08,2019-07-14,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,29,2019-07-15,2019-07-21,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,30,2019-07-22,2019-07-28,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,31,2019-07-29,2019-08-04,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,32,2019-08-05,2019-08-11,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,33,2019-08-12,2019-08-18,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,34,2019-08-19,2019-08-25,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,35,2019-08-26,2019-09-01,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,36,2019-09-02,2019-09-08,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,37,2019-09-09,2019-09-15,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,38,2019-09-16,2019-09-22,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,39,2019-09-23,2019-09-29,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,40,2019-09-30,2019-10-06,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,41,2019-10-07,2019-10-13,,,,,,,,,,,,,,,No Report
Italy,European Region of WHO,South West Europe,2019,42,2019-10-14,2019-10-20,,,,,,,,,,,,,,,No Report
