textbox22,Textbox9
generated on 04/03/2020 16:17:39 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,1,2018-12-31,2019-01-06,237,237,,21,17,,1,39,,,4,4,43,194,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,2,2019-01-07,2019-01-13,241,241,,24,18,,,42,,,12,12,54,187,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,3,2019-01-14,2019-01-20,201,201,,34,19,,,53,,,15,15,68,133,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,4,2019-01-21,2019-01-27,239,239,,43,14,,,57,,,12,12,69,170,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,5,2019-01-28,2019-02-03,273,273,,37,12,,,56,,,8,8,64,209,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,6,2019-02-04,2019-02-10,282,282,,39,10,,,49,,,19,19,68,214,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,7,2019-02-11,2019-02-17,279,279,,46,10,,,56,,,15,15,71,208,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,8,2019-02-18,2019-02-24,280,280,,36,8,,,44,,,14,14,58,222,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,9,2019-02-25,2019-03-03,262,262,,29,5,,,34,,,19,19,53,209,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,10,2019-03-04,2019-03-10,314,314,,31,14,,,45,,,11,11,56,257,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,11,2019-03-11,2019-03-17,301,301,,37,11,,,48,,,18,18,66,235,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,12,2019-03-18,2019-03-24,284,284,,46,8,,,54,,,29,29,83,201,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,13,2019-03-25,2019-03-31,251,251,,40,9,,,49,,,12,12,61,202,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,14,2019-04-01,2019-04-07,249,249,,22,5,,,27,,,26,26,53,196,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,15,2019-04-08,2019-04-14,176,176,,26,4,,,30,,,19,19,49,127,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,16,2019-04-15,2019-04-21,158,158,,29,7,,,36,5,4,9,18,54,113,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,17,2019-04-22,2019-04-28,213,213,,18,3,,,21,7,10,17,34,55,175,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,18,2019-04-29,2019-05-05,132,132,,17,3,,,20,7,3,10,20,40,102,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,19,2019-05-06,2019-05-12,117,117,,12,1,,,13,10,6,16,32,45,88,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,20,2019-05-13,2019-05-19,80,80,,10,4,,,14,2,4,6,12,26,60,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,21,2019-05-20,2019-05-26,87,87,,6,3,,,9,2,4,6,12,21,72,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,22,2019-05-27,2019-06-02,93,93,,12,11,,,23,0,8,8,16,39,62,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,23,2019-06-03,2019-06-09,49,49,,3,2,,,5,1,1,2,4,9,42,No Report
Kuwait,Eastern Mediterranean Region of WHO,Western Asia,2019,24,2019-06-10,2019-06-16,90,90,,7,4,,,11,3,3,6,12,23,73,No Report
