textbox22,Textbox9
generated on 04/03/2020 16:19:21 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,1,2018-12-31,2019-01-06,72,71,0,1,5,,0,6,,,0,0,6,,Sporadic
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,2,2019-01-07,2019-01-13,104,95,0,2,8,,2,12,,,3,3,15,,Local Outbreak
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,3,2019-01-14,2019-01-20,80,76,0,1,8,,2,11,,,1,1,12,,Local Outbreak
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,4,2019-01-21,2019-01-27,95,91,0,1,4,,1,6,,,4,4,10,,Sporadic
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,5,2019-01-28,2019-02-03,78,72,0,2,8,,0,10,,,2,2,12,,Sporadic
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,6,2019-02-04,2019-02-10,83,82,0,3,4,0,0,7,0,0,2,2,9,,No Activity
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,7,2019-02-11,2019-02-17,132,130,0,7,1,0,5,13,0,0,3,3,16,,No Activity
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,8,2019-02-18,2019-02-24,122,119,0,4,5,0,1,10,0,0,8,8,18,,Local Outbreak
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,9,2019-02-25,2019-03-03,128,124,0,2,5,0,0,7,0,0,2,2,9,,Sporadic
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,10,2019-03-04,2019-03-10,133,133,0,5,7,0,1,13,0,0,7,7,20,,Sporadic
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,11,2019-03-11,2019-03-17,118,117,0,7,4,0,0,11,0,0,9,9,20,,Sporadic
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,12,2019-03-18,2019-03-24,124,123,0,0,5,0,0,5,0,0,14,14,19,,Sporadic
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,13,2019-03-25,2019-03-31,68,68,0,0,0,,0,0,,,2,2,2,,No Activity
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,14,2019-04-01,2019-04-07,128,127,0,4,3,0,0,7,0,0,6,6,13,,No Activity
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,15,2019-04-08,2019-04-14,138,138,0,1,0,0,1,2,0,0,4,4,6,,Sporadic
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,16,2019-04-15,2019-04-21,153,149,0,5,3,0,0,8,0,0,12,12,20,,Sporadic
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,17,2019-04-22,2019-04-28,147,147,0,0,2,0,2,4,0,0,12,12,16,,Sporadic
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,18,2019-04-29,2019-05-05,129,128,0,5,0,0,0,5,0,0,8,8,13,,Sporadic
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,19,2019-05-06,2019-05-12,134,132,0,3,2,0,0,5,0,0,16,16,21,,Sporadic
Malaysia,Western Pacific Region of WHO,South-East Asia,2019,20,2019-05-13,2019-05-19,162,151,0,6,0,0,0,6,0,0,9,9,15,,Sporadic
