textbox22,Textbox9
generated on 04/03/2020 16:21:07 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Netherlands,European Region of WHO,South West Europe,2019,1,2018-12-31,2019-01-06,,10,0,8,4,,59,71,0,0,0,0,71,,No Report
Netherlands,European Region of WHO,South West Europe,2019,2,2019-01-07,2019-01-13,,23,0,12,13,,87,112,0,0,4,4,116,,No Report
Netherlands,European Region of WHO,South West Europe,2019,3,2019-01-14,2019-01-20,,29,0,14,16,,97,127,0,0,0,0,127,,No Report
Netherlands,European Region of WHO,South West Europe,2019,4,2019-01-21,2019-01-27,,24,0,20,15,,120,155,0,0,0,0,155,,No Report
Netherlands,European Region of WHO,South West Europe,2019,5,2019-01-28,2019-02-03,,26,0,26,11,,276,313,0,0,0,0,313,,No Report
Netherlands,European Region of WHO,South West Europe,2019,6,2019-02-04,2019-02-10,,36,0,24,28,,518,570,0,0,3,3,573,,No Report
Netherlands,European Region of WHO,South West Europe,2019,7,2019-02-11,2019-02-17,,33,0,26,23,,519,568,0,0,1,1,569,,No Report
Netherlands,European Region of WHO,South West Europe,2019,8,2019-02-18,2019-02-24,,26,0,16,18,,568,602,0,0,1,1,603,,No Report
Netherlands,European Region of WHO,South West Europe,2019,9,2019-02-25,2019-03-03,,24,0,9,19,,473,501,0,0,2,2,503,,No Report
Netherlands,European Region of WHO,South West Europe,2019,10,2019-03-04,2019-03-10,,20,0,15,12,,373,400,0,0,1,1,401,,No Report
Netherlands,European Region of WHO,South West Europe,2019,11,2019-03-11,2019-03-17,,18,0,11,20,,351,382,0,0,0,0,382,,No Report
Netherlands,European Region of WHO,South West Europe,2019,12,2019-03-18,2019-03-24,,8,0,5,19,,275,299,0,0,3,3,302,,No Report
Netherlands,European Region of WHO,South West Europe,2019,13,2019-03-25,2019-03-31,,12,0,4,15,,176,195,0,0,0,0,195,,No Report
Netherlands,European Region of WHO,South West Europe,2019,14,2019-04-01,2019-04-07,,13,0,1,21,,139,161,0,0,0,0,161,,No Report
Netherlands,European Region of WHO,South West Europe,2019,15,2019-04-08,2019-04-14,,5,0,0,6,,49,55,0,0,0,0,55,,No Report
Netherlands,European Region of WHO,South West Europe,2019,16,2019-04-15,2019-04-21,,6,0,0,4,,52,56,0,0,0,0,56,,No Report
Netherlands,European Region of WHO,South West Europe,2019,17,2019-04-22,2019-04-28,,2,0,0,6,,54,60,0,0,1,1,61,,No Report
Netherlands,European Region of WHO,South West Europe,2019,18,2019-04-29,2019-05-05,,2,0,0,1,,23,24,0,0,0,0,24,,No Report
Netherlands,European Region of WHO,South West Europe,2019,19,2019-05-06,2019-05-12,,2,0,0,1,,12,13,0,0,1,1,14,,No Report
Netherlands,European Region of WHO,South West Europe,2019,20,2019-05-13,2019-05-19,,1,0,0,0,,13,13,0,0,2,2,15,,No Report
Netherlands,European Region of WHO,South West Europe,2019,21,2019-05-20,2019-05-26,,1,0,0,0,,17,17,0,0,0,0,17,,No Report
Netherlands,European Region of WHO,South West Europe,2019,22,2019-05-27,2019-06-02,,4,0,0,0,,4,4,0,0,1,1,5,,No Report
Netherlands,European Region of WHO,South West Europe,2019,23,2019-06-03,2019-06-09,,3,0,0,0,,2,2,0,0,0,0,2,,No Report
Netherlands,European Region of WHO,South West Europe,2019,24,2019-06-10,2019-06-16,,2,0,0,0,,6,6,0,0,3,3,9,,No Report
Netherlands,European Region of WHO,South West Europe,2019,25,2019-06-17,2019-06-23,,1,0,0,0,,3,3,0,0,0,0,3,,No Report
Netherlands,European Region of WHO,South West Europe,2019,26,2019-06-24,2019-06-30,,0,0,0,0,,2,2,0,0,1,1,3,,No Report
Netherlands,European Region of WHO,South West Europe,2019,27,2019-07-01,2019-07-07,,0,0,0,0,,2,2,0,0,0,0,2,,No Report
Netherlands,European Region of WHO,South West Europe,2019,28,2019-07-08,2019-07-14,,2,0,0,0,,0,0,0,0,0,0,0,,No Report
Netherlands,European Region of WHO,South West Europe,2019,29,2019-07-15,2019-07-21,,3,0,0,0,,1,1,0,0,0,0,1,,No Report
Netherlands,European Region of WHO,South West Europe,2019,30,2019-07-22,2019-07-28,,1,0,0,0,,2,2,0,0,1,1,3,,No Report
Netherlands,European Region of WHO,South West Europe,2019,31,2019-07-29,2019-08-04,,1,0,0,0,,2,2,0,0,0,0,2,,No Report
Netherlands,European Region of WHO,South West Europe,2019,32,2019-08-05,2019-08-11,,1,0,0,0,,2,2,0,0,0,0,2,,No Report
Netherlands,European Region of WHO,South West Europe,2019,33,2019-08-12,2019-08-18,,1,0,0,0,,3,3,0,0,0,0,3,,No Report
Netherlands,European Region of WHO,South West Europe,2019,34,2019-08-19,2019-08-25,,0,0,0,0,,2,2,0,0,0,0,2,,No Report
Netherlands,European Region of WHO,South West Europe,2019,35,2019-08-26,2019-09-01,,0,0,0,0,,3,3,0,0,0,0,3,,No Report
Netherlands,European Region of WHO,South West Europe,2019,36,2019-09-02,2019-09-08,,3,0,0,0,,2,2,0,0,0,0,2,,No Report
Netherlands,European Region of WHO,South West Europe,2019,37,2019-09-09,2019-09-15,,5,0,0,0,,2,2,0,0,0,0,2,,No Report
Netherlands,European Region of WHO,South West Europe,2019,38,2019-09-16,2019-09-22,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Netherlands,European Region of WHO,South West Europe,2019,39,2019-09-23,2019-09-29,,9,0,0,0,,1,1,0,0,0,0,1,,No Report
Netherlands,European Region of WHO,South West Europe,2019,40,2019-09-30,2019-10-06,,7,0,0,0,,2,2,0,0,0,0,2,,No Report
Netherlands,European Region of WHO,South West Europe,2019,41,2019-10-07,2019-10-13,,8,0,0,0,,0,0,0,0,2,2,2,,No Report
Netherlands,European Region of WHO,South West Europe,2019,42,2019-10-14,2019-10-20,,12,0,0,1,,3,4,0,0,1,1,5,,No Report
Netherlands,European Region of WHO,South West Europe,2019,43,2019-10-21,2019-10-27,,6,0,0,0,,0,0,0,0,0,0,0,,No Report
Netherlands,European Region of WHO,South West Europe,2019,44,2019-10-28,2019-11-03,,11,0,1,0,,2,3,0,0,0,0,3,,No Report
Netherlands,European Region of WHO,South West Europe,2019,45,2019-11-04,2019-11-10,,12,0,1,0,,3,4,0,0,0,0,4,,No Report
Netherlands,European Region of WHO,South West Europe,2019,46,2019-11-11,2019-11-17,,11,0,1,0,,9,10,0,0,1,1,11,,No Report
Netherlands,European Region of WHO,South West Europe,2019,47,2019-11-18,2019-11-24,,7,0,2,3,,3,8,0,0,1,1,9,,No Report
Netherlands,European Region of WHO,South West Europe,2019,48,2019-11-25,2019-12-01,,9,0,4,2,,21,27,0,0,0,0,27,,No Report
Netherlands,European Region of WHO,South West Europe,2019,49,2019-12-02,2019-12-08,,16,0,1,4,,23,28,0,1,0,1,29,,No Report
Netherlands,European Region of WHO,South West Europe,2019,50,2019-12-09,2019-12-15,,18,0,4,12,,57,73,0,0,3,3,76,,No Report
Netherlands,European Region of WHO,South West Europe,2019,51,2019-12-16,2019-12-22,,25,0,8,13,,87,108,0,0,1,1,109,,No Report
Netherlands,European Region of WHO,South West Europe,2019,52,2019-12-23,2019-12-29,,11,0,5,12,,114,131,0,0,0,0,131,,No Report

