textbox22,Textbox9
generated on 04/03/2020 16:20:10 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Norway,European Region of WHO,Northern Europe,2019,1,2018-12-31,2019-01-06,,5084,0,129,27,,446,602,2,0,5,7,609,,No Report
Norway,European Region of WHO,Northern Europe,2019,2,2019-01-07,2019-01-13,,7615,0,182,37,,671,890,1,0,8,9,899,,No Report
Norway,European Region of WHO,Northern Europe,2019,3,2019-01-14,2019-01-20,,7093,0,157,45,,761,963,2,0,11,13,976,,No Report
Norway,European Region of WHO,Northern Europe,2019,4,2019-01-21,2019-01-27,,7633,0,201,61,,1136,1398,2,1,10,13,1411,,No Report
Norway,European Region of WHO,Northern Europe,2019,5,2019-01-28,2019-02-03,,7894,0,216,51,,1493,1760,0,2,9,11,1771,,No Report
Norway,European Region of WHO,Northern Europe,2019,6,2019-02-04,2019-02-10,,8389,0,269,76,,1752,2097,1,1,6,8,2105,,No Report
Norway,European Region of WHO,Northern Europe,2019,7,2019-02-11,2019-02-17,,8901,0,286,92,,2092,2470,0,0,6,6,2476,,No Report
Norway,European Region of WHO,Northern Europe,2019,8,2019-02-18,2019-02-24,,8370,0,200,131,,1885,2216,0,1,2,3,2219,,No Report
Norway,European Region of WHO,Northern Europe,2019,9,2019-02-25,2019-03-03,,7366,0,191,128,,1323,1642,0,0,5,5,1647,,No Report
Norway,European Region of WHO,Northern Europe,2019,10,2019-03-04,2019-03-10,,6809,0,111,102,,914,1127,0,1,5,6,1133,,No Report
Norway,European Region of WHO,Northern Europe,2019,11,2019-03-11,2019-03-17,,6224,0,92,94,,724,910,0,1,5,6,916,,No Report
Norway,European Region of WHO,Northern Europe,2019,12,2019-03-18,2019-03-24,,5929,0,92,93,,691,876,1,1,2,4,880,,No Report
Norway,European Region of WHO,Northern Europe,2019,13,2019-03-25,2019-03-31,,5302,0,81,89,,540,710,1,0,4,5,715,,No Report
Norway,European Region of WHO,Northern Europe,2019,14,2019-04-01,2019-04-07,,5041,0,41,107,,364,512,1,0,2,3,515,,No Report
Norway,European Region of WHO,Northern Europe,2019,15,2019-04-08,2019-04-14,,4877,0,32,117,,256,405,0,2,3,5,410,,No Report
Norway,European Region of WHO,Northern Europe,2019,16,2019-04-15,2019-04-21,,2548,0,30,62,,127,219,0,2,3,5,224,,No Report
Norway,European Region of WHO,Northern Europe,2019,17,2019-04-22,2019-04-28,,3801,0,18,70,,123,211,1,4,2,7,218,,No Report
Norway,European Region of WHO,Northern Europe,2019,18,2019-04-29,2019-05-05,,3610,0,10,52,,65,127,6,4,8,18,145,,No Report
Norway,European Region of WHO,Northern Europe,2019,19,2019-05-06,2019-05-12,,3981,0,6,30,,59,95,0,2,3,5,100,,No Report
Norway,European Region of WHO,Northern Europe,2019,20,2019-05-13,2019-05-19,,3505,0,27,44,,22,93,2,0,3,5,98,,No Report
Norway,European Region of WHO,Northern Europe,2019,21,2019-05-20,2019-05-26,,2526,0,8,51,,25,84,1,1,0,2,86,,No Report
Norway,European Region of WHO,Northern Europe,2019,22,2019-05-27,2019-06-02,,2221,0,5,17,,21,43,0,0,1,1,44,,No Report
Norway,European Region of WHO,Northern Europe,2019,23,2019-06-03,2019-06-09,,1292,0,2,20,,5,27,1,1,1,3,30,,No Report
Norway,European Region of WHO,Northern Europe,2019,24,2019-06-10,2019-06-16,,998,0,2,18,,0,20,0,1,2,3,23,,No Report
Norway,European Region of WHO,Northern Europe,2019,25,2019-06-17,2019-06-23,,1261,0,6,13,,3,22,0,0,1,1,23,,No Report
Norway,European Region of WHO,Northern Europe,2019,26,2019-06-24,2019-06-30,,1243,0,3,5,,11,19,0,1,1,2,21,,No Report
Norway,European Region of WHO,Northern Europe,2019,27,2019-07-01,2019-07-07,,1212,0,0,11,,4,15,0,0,1,1,16,,No Report
Norway,European Region of WHO,Northern Europe,2019,28,2019-07-08,2019-07-14,,933,0,1,9,,4,14,0,1,1,2,16,,No Report
Norway,European Region of WHO,Northern Europe,2019,29,2019-07-15,2019-07-21,,492,0,2,5,,1,8,0,0,0,0,8,,No Report
Norway,European Region of WHO,Northern Europe,2019,30,2019-07-22,2019-07-28,,651,0,3,3,,0,6,0,2,4,6,12,,No Report
Norway,European Region of WHO,Northern Europe,2019,31,2019-07-29,2019-08-04,,895,0,0,14,,0,14,0,3,0,3,17,,No Report
Norway,European Region of WHO,Northern Europe,2019,32,2019-08-05,2019-08-11,,988,0,0,4,,4,8,0,0,0,0,8,,No Report
Norway,European Region of WHO,Northern Europe,2019,33,2019-08-12,2019-08-18,,450,0,5,5,,0,10,0,1,0,1,11,,No Report
Norway,European Region of WHO,Northern Europe,2019,34,2019-08-19,2019-08-25,,709,0,2,3,,2,7,0,2,0,2,9,,No Report
Norway,European Region of WHO,Northern Europe,2019,35,2019-08-26,2019-09-01,,507,0,7,5,,0,12,0,1,0,1,13,,No Report
Norway,European Region of WHO,Northern Europe,2019,36,2019-09-02,2019-09-08,,814,0,1,3,,5,9,0,0,0,0,9,,No Report
Norway,European Region of WHO,Northern Europe,2019,37,2019-09-09,2019-09-15,,1237,0,2,2,,5,9,0,0,2,2,11,,No Report
Norway,European Region of WHO,Northern Europe,2019,38,2019-09-16,2019-09-22,,1207,0,0,10,,1,11,0,1,1,2,13,,No Report
Norway,European Region of WHO,Northern Europe,2019,39,2019-09-23,2019-09-29,,464,0,0,1,,1,2,0,0,2,2,4,,No Report
Norway,European Region of WHO,Northern Europe,2019,40,2019-09-30,2019-10-06,,3670,0,1,1,,15,17,0,3,6,9,26,,No Report
Norway,European Region of WHO,Northern Europe,2019,41,2019-10-07,2019-10-13,,3837,0,0,5,,10,15,0,1,2,3,18,,No Report
Norway,European Region of WHO,Northern Europe,2019,42,2019-10-14,2019-10-20,,4154,0,6,9,,17,32,0,3,6,9,41,,No Report
Norway,European Region of WHO,Northern Europe,2019,43,2019-10-21,2019-10-27,,4230,0,2,14,,14,30,1,4,3,8,38,,No Report
Norway,European Region of WHO,Northern Europe,2019,44,2019-10-28,2019-11-03,,4250,0,5,13,,12,30,1,9,8,18,48,,No Report
Norway,European Region of WHO,Northern Europe,2019,45,2019-11-04,2019-11-10,,4659,0,5,18,,29,52,0,5,5,10,62,,No Report
Norway,European Region of WHO,Northern Europe,2019,46,2019-11-11,2019-11-17,,4758,0,8,15,,48,71,4,5,16,25,96,,No Report
Norway,European Region of WHO,Northern Europe,2019,47,2019-11-18,2019-11-24,,4765,0,11,44,,45,100,8,10,15,33,133,,No Report
Norway,European Region of WHO,Northern Europe,2019,48,2019-11-25,2019-12-01,,4950,0,12,39,,90,141,10,9,39,58,199,,No Report
Norway,European Region of WHO,Northern Europe,2019,49,2019-12-02,2019-12-08,,5354,0,8,42,,112,162,7,22,56,85,247,,No Report
Norway,European Region of WHO,Northern Europe,2019,50,2019-12-09,2019-12-15,,6221,0,19,52,,182,253,3,34,125,162,415,,No Report
Norway,European Region of WHO,Northern Europe,2019,51,2019-12-16,2019-12-22,,6553,0,25,62,,368,455,3,41,155,199,654,,No Report
Norway,European Region of WHO,Northern Europe,2019,52,2019-12-23,2019-12-29,,3461,0,23,49,,275,347,2,28,87,117,464,,No Report

