textbox22,Textbox9
generated on 04/03/2020 15:45:42 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Singapore,Western Pacific Region of WHO,South-East Asia,2019,1,2018-12-31,2019-01-06,27,27,0,5,5,0,1,11,0,2,0,2,13,13,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,2,2019-01-07,2019-01-13,76,76,0,15,10,0,1,26,2,5,0,7,33,42,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,3,2019-01-14,2019-01-20,71,71,0,15,7,0,1,23,0,8,1,9,32,38,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,4,2019-01-21,2019-01-27,75,75,0,9,6,0,0,15,5,9,0,14,29,46,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,5,2019-01-28,2019-02-03,73,73,0,8,5,0,0,13,2,7,0,9,22,50,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,6,2019-02-04,2019-02-10,38,38,0,4,3,0,0,7,0,3,0,3,10,27,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,7,2019-02-11,2019-02-17,78,78,0,8,6,0,0,14,4,7,0,11,25,52,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,8,2019-02-18,2019-02-24,74,74,0,15,8,0,0,23,3,4,0,7,30,44,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,9,2019-02-25,2019-03-03,72,72,0,11,6,0,0,17,3,7,0,10,27,45,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,10,2019-03-04,2019-03-10,62,62,0,1,2,0,0,3,1,3,1,5,8,51,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,11,2019-03-11,2019-03-17,46,46,0,3,3,0,0,6,0,2,0,2,8,37,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,12,2019-03-18,2019-03-24,46,46,0,4,5,0,1,10,3,5,0,8,18,28,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,13,2019-03-25,2019-03-31,59,59,0,3,1,0,0,4,0,5,0,5,9,49,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,14,2019-04-01,2019-04-07,53,53,0,4,1,0,0,5,0,4,1,5,10,42,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,15,2019-04-08,2019-04-14,62,62,0,1,3,0,0,4,0,6,0,6,10,51,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,16,2019-04-15,2019-04-21,40,40,0,2,2,0,1,5,1,6,1,8,13,27,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,17,2019-04-22,2019-04-28,51,51,0,1,2,0,0,3,0,8,0,8,11,40,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,18,2019-04-29,2019-05-05,47,47,0,1,1,0,0,2,0,6,0,6,8,38,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,19,2019-05-06,2019-05-12,61,61,0,2,2,0,0,4,0,11,0,11,15,45,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,20,2019-05-13,2019-05-19,55,55,0,3,2,0,0,5,0,11,0,11,16,38,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,21,2019-05-20,2019-05-26,42,42,0,1,1,0,0,2,0,5,1,6,8,31,Local Outbreak
Singapore,Western Pacific Region of WHO,South-East Asia,2019,22,2019-05-27,2019-06-02,51,51,0,1,4,0,0,5,1,15,1,17,22,28,Local Outbreak
