textbox22,Textbox9
generated on 04/03/2020 15:48:13 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Thailand,South-East Asia Region of WHO,South-East Asia,2019,1,2018-12-31,2019-01-06,20,20,,2,2,,,4,,,0,0,4,16,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,2,2019-01-07,2019-01-13,49,49,,3,10,,,13,0,3,0,3,16,33,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,3,2019-01-14,2019-01-20,51,51,,3,5,,,8,1,4,0,5,13,38,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,4,2019-01-21,2019-01-27,85,85,,4,5,,,9,1,8,0,9,18,67,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,5,2019-01-28,2019-02-03,66,66,,10,12,,,22,2,6,0,8,30,36,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,6,2019-02-04,2019-02-10,35,35,,1,3,,,4,0,9,0,9,13,22,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,7,2019-02-11,2019-02-17,127,127,,17,13,,,30,1,21,0,22,52,75,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,8,2019-02-18,2019-02-24,104,104,,10,5,,,15,0,23,1,24,39,65,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,9,2019-02-25,2019-03-03,176,176,,22,10,,,32,0,61,2,63,95,81,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,10,2019-03-04,2019-03-10,140,140,,9,17,,,26,0,44,3,47,73,67,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,11,2019-03-11,2019-03-17,166,166,,9,4,,,13,0,27,0,27,40,126,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,12,2019-03-18,2019-03-24,126,126,,12,13,,,25,0,36,0,36,61,65,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,13,2019-03-25,2019-03-31,140,140,,9,7,,,16,0,41,1,42,58,83,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,14,2019-04-01,2019-04-07,71,71,,3,1,,,4,0,11,3,14,18,53,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,15,2019-04-08,2019-04-14,63,63,,4,1,,,5,0,10,2,12,17,46,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,16,2019-04-15,2019-04-21,53,53,,3,1,,,4,0,11,0,11,15,38,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,17,2019-04-22,2019-04-28,92,92,,9,3,,,12,0,15,7,22,34,58,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,18,2019-04-29,2019-05-05,48,48,,8,2,,,10,2,9,3,14,24,27,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,19,2019-05-06,2019-05-12,22,22,,1,1,,,2,0,4,2,6,8,14,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,20,2019-05-13,2019-05-19,100,100,,5,4,,,9,0,19,0,19,28,72,No Report
Thailand,South-East Asia Region of WHO,South-East Asia,2019,21,2019-05-20,2019-05-26,43,43,,0,3,,,3,0,13,2,15,18,25,No Report
