textbox22,Textbox9
generated on 04/03/2020 16:43:57 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Japan,Western Pacific Region of WHO,Eastern Asia,2005,1,2005-01-03,2005-01-09,,,4,,14,,0,18,,,12,12,30,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,2,2005-01-10,2005-01-16,,,11,,34,,0,45,,,60,60,105,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,3,2005-01-17,2005-01-23,,,11,,121,,0,132,,,194,194,326,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,4,2005-01-24,2005-01-30,,,22,,184,,0,206,,,352,352,558,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,5,2005-01-31,2005-02-06,,,19,,280,,0,299,,,381,381,680,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,6,2005-02-07,2005-02-13,,,5,,253,,0,258,,,461,461,719,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,7,2005-02-14,2005-02-20,,,5,,223,,0,228,,,483,483,711,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,8,2005-02-21,2005-02-27,,,4,,220,,0,224,,,413,413,637,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,9,2005-02-28,2005-03-06,,,12,,249,,0,261,,,342,342,603,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,10,2005-03-07,2005-03-13,,,7,,159,,0,166,,,218,218,384,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,11,2005-03-14,2005-03-20,,,1,,126,,0,127,,,149,149,276,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,12,2005-03-21,2005-03-27,,,5,,95,,0,100,,,57,57,157,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,13,2005-03-28,2005-04-03,,,2,,78,,0,80,,,62,62,142,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,14,2005-04-04,2005-04-10,,,0,,72,,0,72,,,42,42,114,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,15,2005-04-11,2005-04-17,,,0,,72,,0,72,,,22,22,94,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,16,2005-04-18,2005-04-24,,,0,,63,,0,63,,,19,19,82,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,17,2005-04-25,2005-05-01,,,1,,40,,0,41,,,9,9,50,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,18,2005-05-02,2005-05-08,,,1,,13,,0,14,,,2,2,16,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,19,2005-05-09,2005-05-15,,,1,,31,,0,32,,,3,3,35,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,20,2005-05-16,2005-05-22,,,0,,41,,0,41,,,1,1,42,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2005,21,2005-05-23,2005-05-29,,,0,,23,,0,23,,,0,0,23,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2005,22,2005-05-30,2005-06-05,,,0,,13,,0,13,,,0,0,13,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,23,2005-06-06,2005-06-12,,,0,,3,,0,3,,,0,0,3,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,24,2005-06-13,2005-06-19,,,0,,3,,0,3,,,0,0,3,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,25,2005-06-20,2005-06-26,,,2,,6,,0,8,,,0,0,8,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,26,2005-06-27,2005-07-03,,,0,,1,,0,1,,,0,0,1,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,27,2005-07-04,2005-07-10,,,0,,4,,0,4,,,0,0,4,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,28,2005-07-11,2005-07-17,,,2,,4,,0,6,,,0,0,6,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,29,2005-07-18,2005-07-24,,,0,,5,,0,5,,,0,0,5,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,30,2005-07-25,2005-07-31,,,0,,1,,0,1,,,0,0,1,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,31,2005-08-01,2005-08-07,,,0,,4,,0,4,,,0,0,4,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,32,2005-08-08,2005-08-14,,,0,,11,,0,11,,,0,0,11,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,33,2005-08-15,2005-08-21,,,0,,0,,0,0,,,0,0,0,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,34,2005-08-22,2005-08-28,,,0,,1,,0,1,,,0,0,1,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,35,2005-08-29,2005-09-04,,,0,,0,,0,0,,,0,0,0,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,36,2005-09-05,2005-09-11,,,2,,1,,0,3,,,0,0,3,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,37,2005-09-12,2005-09-18,,,0,,4,,0,4,,,0,0,4,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,38,2005-09-19,2005-09-25,,,0,,1,,0,1,,,0,0,1,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,39,2005-09-26,2005-10-02,,,0,,1,,0,1,,,0,0,1,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,40,2005-10-03,2005-10-09,,,0,,0,,0,0,,,0,0,0,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,41,2005-10-10,2005-10-16,,,0,,1,,0,1,,,0,0,1,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,42,2005-10-17,2005-10-23,,,0,,1,,0,1,,,0,0,1,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,43,2005-10-24,2005-10-30,,,0,,4,,0,4,,,0,0,4,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,44,2005-10-31,2005-11-06,,,0,,6,,0,6,,,0,0,6,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,45,2005-11-07,2005-11-13,,,0,,14,,0,14,,,0,0,14,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,46,2005-11-14,2005-11-20,,,3,,21,,0,24,,,0,0,24,,No Report
Japan,Western Pacific Region of WHO,Eastern Asia,2005,47,2005-11-21,2005-11-27,,,3,,23,,0,26,,,0,0,26,,Local Outbreak
