textbox22,Textbox9
generated on 06/03/2020 18:29:56 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Chile,Region of the Americas of WHO,Temperate South America,2005,1,2005-01-03,2005-01-09,,210,,,,,,0,,,0,0,0,210,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2005,2,2005-01-10,2005-01-16,,163,0,,,,,0,,,0,0,0,163,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2005,3,2005-01-17,2005-01-23,,160,,,,,,0,,,0,0,0,160,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2005,4,2005-01-24,2005-01-30,,159,0,,,,,0,,,0,0,0,159,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2005,5,2005-01-31,2005-02-06,,144,0,,,,,0,,,0,0,0,144,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2005,6,2005-02-07,2005-02-13,,147,,,,,,0,,,0,0,0,147,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2005,7,2005-02-14,2005-02-20,,140,,,3,,,3,,,0,0,3,137,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2005,8,2005-02-21,2005-02-27,,136,0,,,,,0,,,0,0,0,136,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2005,9,2005-02-28,2005-03-06,,133,,,,,0,0,,,0,0,0,133,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2005,10,2005-03-07,2005-03-13,,156,,,,,1,1,,,0,0,1,155,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2005,11,2005-03-14,2005-03-20,,207,,,,,0,0,,,0,0,0,207,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2005,12,2005-03-21,2005-03-27,,140,,,,,,0,,,0,0,0,140,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2005,13,2005-03-28,2005-04-03,,266,,,2,,2,4,,,0,0,4,262,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2005,14,2005-04-04,2005-04-10,,263,,,1,,1,2,,,0,0,2,261,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2005,15,2005-04-11,2005-04-17,,224,,,2,,,2,,,0,0,2,222,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2005,16,2005-04-18,2005-04-24,,271,,,6,,1,7,,,0,0,7,264,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2005,17,2005-04-25,2005-05-01,,332,,,3,,1,4,,,1,1,5,327,Sporadic
