textbox22,Textbox9
generated on 04/03/2020 19:55:43 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
France,European Region of WHO,South West Europe,2005,1,2005-01-03,2005-01-09,,643,,,7,,13,20,,,0,0,20,,Sporadic
France,European Region of WHO,South West Europe,2005,2,2005-01-10,2005-01-16,,580,,,9,,22,31,,,2,2,33,,Regional Outbreak
France,European Region of WHO,South West Europe,2005,3,2005-01-17,2005-01-23,,751,,,23,,58,81,,,3,3,84,,Regional Outbreak
France,European Region of WHO,South West Europe,2005,4,2005-01-24,2005-01-30,,975,1,,26,,85,112,,,2,2,114,,Regional Outbreak
France,European Region of WHO,South West Europe,2005,5,2005-01-31,2005-02-06,,1075,3,,41,,149,193,,,2,2,195,,Regional Outbreak
France,European Region of WHO,South West Europe,2005,6,2005-02-07,2005-02-13,,986,3,,45,,156,204,,,5,5,209,,Regional Outbreak
France,European Region of WHO,South West Europe,2005,7,2005-02-14,2005-02-20,,981,2,,54,,115,171,,,3,3,174,,Regional Outbreak
France,European Region of WHO,South West Europe,2005,8,2005-02-21,2005-02-27,,784,2,,34,,81,117,,,4,4,121,,Local Outbreak
France,European Region of WHO,South West Europe,2005,9,2005-02-28,2005-03-06,,722,,,56,,58,114,,,10,10,124,,Local Outbreak
France,European Region of WHO,South West Europe,2005,10,2005-03-07,2005-03-13,,570,2,,45,,56,103,,,17,17,120,,Local Outbreak
France,European Region of WHO,South West Europe,2005,11,2005-03-14,2005-03-20,,593,5,,36,,39,80,,,13,13,93,,Local Outbreak
France,European Region of WHO,South West Europe,2005,12,2005-03-21,2005-03-27,,429,1,,7,,13,21,,,11,11,32,,Sporadic
France,European Region of WHO,South West Europe,2005,13,2005-03-28,2005-04-03,,490,2,,30,,11,43,,,17,17,60,,Sporadic
France,European Region of WHO,South West Europe,2005,14,2005-04-04,2005-04-10,,358,3,,2,,7,12,,,11,11,23,,Sporadic
France,European Region of WHO,South West Europe,2005,15,2005-04-11,2005-04-17,,348,3,,1,,4,8,,,5,5,13,,Sporadic
France,European Region of WHO,South West Europe,2005,16,2005-04-18,2005-04-24,,219,,,1,,,1,,,1,1,2,,No Activity
France,European Region of WHO,South West Europe,2005,17,2005-04-25,2005-05-01,,229,,,,,1,1,,,0,0,1,,No Activity
France,European Region of WHO,South West Europe,2005,18,2005-05-02,2005-05-08,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,19,2005-05-09,2005-05-15,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,20,2005-05-16,2005-05-22,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,21,2005-05-23,2005-05-29,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,22,2005-05-30,2005-06-05,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,23,2005-06-06,2005-06-12,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,24,2005-06-13,2005-06-19,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,25,2005-06-20,2005-06-26,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,26,2005-06-27,2005-07-03,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,27,2005-07-04,2005-07-10,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,28,2005-07-11,2005-07-17,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,29,2005-07-18,2005-07-24,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,30,2005-07-25,2005-07-31,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,31,2005-08-01,2005-08-07,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,32,2005-08-08,2005-08-14,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,33,2005-08-15,2005-08-21,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,34,2005-08-22,2005-08-28,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,35,2005-08-29,2005-09-04,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,36,2005-09-05,2005-09-11,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,37,2005-09-12,2005-09-18,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,38,2005-09-19,2005-09-25,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,39,2005-09-26,2005-10-02,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2005,40,2005-10-03,2005-10-09,,335,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2005,41,2005-10-10,2005-10-16,,350,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2005,42,2005-10-17,2005-10-23,,398,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2005,43,2005-10-24,2005-10-30,,263,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2005,44,2005-10-31,2005-11-06,,328,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2005,45,2005-11-07,2005-11-13,,305,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2005,46,2005-11-14,2005-11-20,,401,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2005,47,2005-11-21,2005-11-27,,482,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2005,48,2005-11-28,2005-12-04,,592,0,,0,,0,0,,,1,1,1,,No Activity
France,European Region of WHO,South West Europe,2005,49,2005-12-05,2005-12-11,,664,3,,,,,3,,,2,2,5,,No Activity
France,European Region of WHO,South West Europe,2005,50,2005-12-12,2005-12-18,,730,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2005,51,2005-12-19,2005-12-25,,719,,,,,1,1,,,1,1,2,,Sporadic
France,European Region of WHO,South West Europe,2005,52,2005-12-26,2006-01-01,,800,1,,,,3,4,,,6,6,10,,Sporadic
France,European Region of WHO,South West Europe,2006,1,2006-01-02,2006-01-08,,795,2,,1,,4,7,,,4,4,11,,Sporadic
France,European Region of WHO,South West Europe,2006,2,2006-01-09,2006-01-15,,683,2,,,,2,4,,,1,1,5,,Sporadic
France,European Region of WHO,South West Europe,2006,3,2006-01-16,2006-01-22,,608,1,,,,9,10,,,6,6,16,,Sporadic
France,European Region of WHO,South West Europe,2006,4,2006-01-23,2006-01-29,,819,12,,,,5,17,,,12,12,29,,Sporadic
France,European Region of WHO,South West Europe,2006,5,2006-01-30,2006-02-05,,683,15,,2,,13,30,,,19,19,49,,Sporadic
France,European Region of WHO,South West Europe,2006,6,2006-02-06,2006-02-12,,858,16,,,,30,46,,,29,29,75,,Regional Outbreak
France,European Region of WHO,South West Europe,2006,7,2006-02-13,2006-02-19,,905,16,,1,,43,60,,,50,50,110,,Regional Outbreak
France,European Region of WHO,South West Europe,2006,8,2006-02-20,2006-02-26,,846,12,,,,25,37,,,61,61,98,,Regional Outbreak
France,European Region of WHO,South West Europe,2006,9,2006-02-27,2006-03-05,,759,5,,1,,19,25,,,32,32,57,,Regional Outbreak
France,European Region of WHO,South West Europe,2006,10,2006-03-06,2006-03-12,,687,10,,2,,11,23,,,38,38,61,,Local Outbreak
France,European Region of WHO,South West Europe,2006,11,2006-03-13,2006-03-19,,786,10,,,,23,33,,,37,37,70,,Regional Outbreak
France,European Region of WHO,South West Europe,2006,12,2006-03-20,2006-03-26,,727,10,,,,7,17,,,53,53,70,,Regional Outbreak
France,European Region of WHO,South West Europe,2006,13,2006-03-27,2006-04-02,,528,3,,,,8,11,,,44,44,55,,Sporadic
France,European Region of WHO,South West Europe,2006,14,2006-04-03,2006-04-09,,510,1,,,,9,10,,,13,13,23,,Sporadic
France,European Region of WHO,South West Europe,2006,15,2006-04-10,2006-04-16,,337,5,,,,3,8,,,9,9,17,,Sporadic
France,European Region of WHO,South West Europe,2006,16,2006-04-17,2006-04-23,,274,,,1,,2,3,,,1,1,4,,No Activity
France,European Region of WHO,South West Europe,2006,17,2006-04-24,2006-04-30,,312,,,,,1,1,,,1,1,2,,No Activity
France,European Region of WHO,South West Europe,2006,18,2006-05-01,2006-05-07,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,19,2006-05-08,2006-05-14,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,20,2006-05-15,2006-05-21,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,21,2006-05-22,2006-05-28,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,22,2006-05-29,2006-06-04,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,23,2006-06-05,2006-06-11,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,24,2006-06-12,2006-06-18,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,25,2006-06-19,2006-06-25,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,26,2006-06-26,2006-07-02,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,27,2006-07-03,2006-07-09,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,28,2006-07-10,2006-07-16,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,29,2006-07-17,2006-07-23,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,30,2006-07-24,2006-07-30,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,31,2006-07-31,2006-08-06,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,32,2006-08-07,2006-08-13,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,33,2006-08-14,2006-08-20,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,34,2006-08-21,2006-08-27,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,35,2006-08-28,2006-09-03,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,36,2006-09-04,2006-09-10,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,37,2006-09-11,2006-09-17,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,38,2006-09-18,2006-09-24,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,39,2006-09-25,2006-10-01,,,,,,,,,,,,,,,No Report
France,European Region of WHO,South West Europe,2006,40,2006-10-02,2006-10-08,,265,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2006,41,2006-10-09,2006-10-15,,360,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2006,42,2006-10-16,2006-10-22,,353,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2006,43,2006-10-23,2006-10-29,,413,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2006,44,2006-10-30,2006-11-05,,287,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2006,45,2006-11-06,2006-11-12,,372,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2006,46,2006-11-13,2006-11-19,,442,0,,0,,0,0,,,0,0,0,,No Activity
France,European Region of WHO,South West Europe,2006,47,2006-11-20,2006-11-26,,461,0,,1,,0,1,,,0,0,1,,No Activity
France,European Region of WHO,South West Europe,2006,48,2006-11-27,2006-12-03,,555,0,,1,,0,1,,,0,0,1,,No Activity
France,European Region of WHO,South West Europe,2006,49,2006-12-04,2006-12-10,,631,,,1,,1,2,,,0,0,2,,Sporadic
France,European Region of WHO,South West Europe,2006,50,2006-12-11,2006-12-17,,682,,,3,,1,4,,,0,0,4,,Sporadic
France,European Region of WHO,South West Europe,2006,51,2006-12-18,2006-12-24,,819,,,9,,3,12,,,0,0,12,,Sporadic
