textbox22,Textbox9
generated on 05/03/2020 20:40:31 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Greece,European Region of WHO,South West Europe,2005,1,2005-01-03,2005-01-09,,16,1,,1,,0,2,,,0,0,2,,Sporadic
Greece,European Region of WHO,South West Europe,2005,2,2005-01-10,2005-01-16,,25,4,,2,,0,6,,,1,1,7,,Sporadic
Greece,European Region of WHO,South West Europe,2005,3,2005-01-17,2005-01-23,,38,8,,8,,0,16,,,1,1,17,,Sporadic
Greece,European Region of WHO,South West Europe,2005,4,2005-01-24,2005-01-30,,42,11,,9,,1,21,,,1,1,22,,Local Outbreak
Greece,European Region of WHO,South West Europe,2005,5,2005-01-31,2005-02-06,,64,21,,13,,1,35,,,0,0,35,,Regional Outbreak
Greece,European Region of WHO,South West Europe,2005,6,2005-02-07,2005-02-13,,62,5,,14,,1,20,,,0,0,20,,Sporadic
Greece,European Region of WHO,South West Europe,2005,7,2005-02-14,2005-02-20,,87,30,,23,,0,53,,,0,0,53,,Regional Outbreak
Greece,European Region of WHO,South West Europe,2005,8,2005-02-21,2005-02-27,,62,14,,15,,0,29,,,1,1,30,,Regional Outbreak
Greece,European Region of WHO,South West Europe,2005,9,2005-02-28,2005-03-06,,36,6,,6,,0,12,,,0,0,12,,Regional Outbreak
Greece,European Region of WHO,South West Europe,2005,10,2005-03-07,2005-03-13,,41,4,,5,,2,11,,,0,0,11,,Regional Outbreak
Greece,European Region of WHO,South West Europe,2005,11,2005-03-14,2005-03-20,,10,0,,0,,0,0,,,0,0,0,,Sporadic
Greece,European Region of WHO,South West Europe,2005,12,2005-03-21,2005-03-27,,8,1,,1,,0,2,,,1,1,3,,Sporadic
Greece,European Region of WHO,South West Europe,2005,13,2005-03-28,2005-04-03,,15,1,,1,,1,3,,,1,1,4,,Sporadic
Greece,European Region of WHO,South West Europe,2005,14,2005-04-04,2005-04-10,,11,1,,1,,,2,,,1,1,3,,Sporadic
Greece,European Region of WHO,South West Europe,2005,15,2005-04-11,2005-04-17,,6,1,,2,,,3,,,2,2,5,,Sporadic
Greece,European Region of WHO,South West Europe,2005,16,2005-04-18,2005-04-24,,,,,,,,,,,,,,,No Report
Greece,European Region of WHO,South West Europe,2005,17,2005-04-25,2005-05-01,,,,,,,,,,,,,,,No Report
Greece,European Region of WHO,South West Europe,2005,18,2005-05-02,2005-05-08,,,,,,,,,,,,,,,No Report
Greece,European Region of WHO,South West Europe,2005,19,2005-05-09,2005-05-15,,,,,,,,,,,,,,,No Report
Greece,European Region of WHO,South West Europe,2005,20,2005-05-16,2005-05-22,,,,,,,,,,,,,,,No Report
Greece,European Region of WHO,South West Europe,2005,21,2005-05-23,2005-05-29,,,,,,,,,,,,,,,No Report
Greece,European Region of WHO,South West Europe,2005,22,2005-05-30,2005-06-05,,,,,,,,,,,,,,,No Report
Greece,European Region of WHO,South West Europe,2005,23,2005-06-06,2005-06-12,,,,,,,,,,,,,,,No Report
Greece,European Region of WHO,South West Europe,2005,24,2005-06-13,2005-06-19,,,,,,,,,,,,,,,No Report
Greece,European Region of WHO,South West Europe,2005,25,2005-06-20,2005-06-26,,,,,,,,,,,,,,,No Report
Greece,European Region of WHO,South West Europe,2005,26,2005-06-27,2005-07-03,,,,,,,,,,,,,,,No Report
Greece,European Region of WHO,South West Europe,2005,27,2005-07-04,2005-07-10,,,,,,,,,,,,,,,No Report
Greece,European Region of WHO,South West Europe,2005,28,2005-07-11,2005-07-17,,,,,,,,,,,,,,,No Report
