textbox22,Textbox9
generated on 06/03/2020 19:35:42 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Paraguay,Region of the Americas of WHO,Temperate South America,2005,1,2005-01-03,2005-01-09,,5,0,,0,,0,0,,,0,0,0,5,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,2,2005-01-10,2005-01-16,,6,,,,,,0,,,1,1,1,5,Sporadic
Paraguay,Region of the Americas of WHO,Temperate South America,2005,3,2005-01-17,2005-01-23,,7,0,,0,,0,0,,,0,0,0,7,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,4,2005-01-24,2005-01-30,,3,0,,0,,0,0,,,0,0,0,3,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,5,2005-01-31,2005-02-06,,3,0,,0,,0,0,,,0,0,0,3,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,6,2005-02-07,2005-02-13,,4,0,,0,,0,0,,,0,0,0,4,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,7,2005-02-14,2005-02-20,,10,0,,0,,0,0,,,0,0,0,10,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,8,2005-02-21,2005-02-27,,3,,,,,2,2,,,0,0,2,1,Sporadic
Paraguay,Region of the Americas of WHO,Temperate South America,2005,9,2005-02-28,2005-03-06,,4,0,,0,,0,0,,,0,0,0,4,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,10,2005-03-07,2005-03-13,,2,0,,0,,0,0,,,0,0,0,2,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,11,2005-03-14,2005-03-20,,3,0,,0,,0,0,,,0,0,0,3,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,12,2005-03-21,2005-03-27,,3,0,,0,,1,1,,,0,0,1,2,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,13,2005-03-28,2005-04-03,,4,0,,0,,0,0,,,0,0,0,4,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,14,2005-04-04,2005-04-10,,4,0,,0,,0,0,,,0,0,0,4,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,15,2005-04-11,2005-04-17,,2,0,,0,,0,0,,,0,0,0,2,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,16,2005-04-18,2005-04-24,,6,0,,0,,0,0,,,0,0,0,6,No Activity
Paraguay,Region of the Americas of WHO,Temperate South America,2005,17,2005-04-25,2005-05-01,,12,1,,0,,0,1,,,0,0,1,11,Sporadic
Paraguay,Region of the Americas of WHO,Temperate South America,2005,18,2005-05-02,2005-05-08,,16,1,,0,,0,1,,,0,0,1,15,Sporadic
Paraguay,Region of the Americas of WHO,Temperate South America,2005,19,2005-05-09,2005-05-15,,37,,,9,,4,13,,,0,0,13,24,No Report
Paraguay,Region of the Americas of WHO,Temperate South America,2005,20,2005-05-16,2005-05-22,,20,,,4,,4,8,,,0,0,8,12,Local Outbreak
Paraguay,Region of the Americas of WHO,Temperate South America,2005,21,2005-05-23,2005-05-29,,77,,,7,,6,13,,,0,0,13,64,No Report
Paraguay,Region of the Americas of WHO,Temperate South America,2005,22,2005-05-30,2005-06-05,,60,,,1,,9,10,,,0,0,10,50,No Report
Paraguay,Region of the Americas of WHO,Temperate South America,2005,23,2005-06-06,2005-06-12,,82,,,2,,8,10,,,0,0,10,72,No Report
Paraguay,Region of the Americas of WHO,Temperate South America,2005,24,2005-06-13,2005-06-19,,39,,,3,,1,4,,,0,0,4,35,No Report
Paraguay,Region of the Americas of WHO,Temperate South America,2005,25,2005-06-20,2005-06-26,,75,,,1,,5,6,,,0,0,6,69,No Report
Paraguay,Region of the Americas of WHO,Temperate South America,2005,26,2005-06-27,2005-07-03,,52,,,,,2,2,,,0,0,2,50,No Report
