textbox22,Textbox9
generated on 05/03/2020 20:09:33 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Sweden,European Region of WHO,Northern Europe,2005,1,2005-01-03,2005-01-09,,,,,,,36,36,,,2,2,38,,Sporadic
Sweden,European Region of WHO,Northern Europe,2005,2,2005-01-10,2005-01-16,,,,,,,33,33,,,0,0,33,,Sporadic
Sweden,European Region of WHO,Northern Europe,2005,3,2005-01-17,2005-01-23,,,,,,,49,49,,,2,2,51,,Local Outbreak
Sweden,European Region of WHO,Northern Europe,2005,4,2005-01-24,2005-01-30,,,,,,,72,72,,,5,5,77,,Sporadic
Sweden,European Region of WHO,Northern Europe,2005,5,2005-01-31,2005-02-06,,,,,,,82,82,,,2,2,84,,Sporadic
Sweden,European Region of WHO,Northern Europe,2005,6,2005-02-07,2005-02-13,,,,,,,133,133,,,8,8,141,,Regional Outbreak
Sweden,European Region of WHO,Northern Europe,2005,7,2005-02-14,2005-02-20,,,,,,,158,158,,,12,12,170,,Sporadic
Sweden,European Region of WHO,Northern Europe,2005,8,2005-02-21,2005-02-27,,,,,,,189,189,,,7,7,196,,Sporadic
Sweden,European Region of WHO,Northern Europe,2005,9,2005-02-28,2005-03-06,,,,,,,216,216,,,7,7,223,,Local Outbreak
Sweden,European Region of WHO,Northern Europe,2005,10,2005-03-07,2005-03-13,,,,,,,201,201,,,10,10,211,,Regional Outbreak
Sweden,European Region of WHO,Northern Europe,2005,11,2005-03-14,2005-03-20,,,,,,,180,180,,,19,19,199,,Widespread Outbreak
Sweden,European Region of WHO,Northern Europe,2005,12,2005-03-21,2005-03-27,,,,,,,134,134,,,16,16,150,,Widespread Outbreak
Sweden,European Region of WHO,Northern Europe,2005,13,2005-03-28,2005-04-03,,,,,,,82,82,,,28,28,110,,Regional Outbreak
Sweden,European Region of WHO,Northern Europe,2005,14,2005-04-04,2005-04-10,,,,,,,32,32,,,29,29,61,,Regional Outbreak
Sweden,European Region of WHO,Northern Europe,2005,15,2005-04-11,2005-04-17,,,10,,,,,10,,,15,15,25,,Sporadic
Sweden,European Region of WHO,Northern Europe,2005,16,2005-04-18,2005-04-24,,,11,,,,,11,,,14,14,25,,Sporadic
Sweden,European Region of WHO,Northern Europe,2005,17,2005-04-25,2005-05-01,,,,,,,,,,,,,,,No Report
Sweden,European Region of WHO,Northern Europe,2005,18,2005-05-02,2005-05-08,,,,,,,,,,,,,,,No Report
Sweden,European Region of WHO,Northern Europe,2005,19,2005-05-09,2005-05-15,,,,,,,,,,,,,,,No Report
Sweden,European Region of WHO,Northern Europe,2005,20,2005-05-16,2005-05-22,,,,,,,,,,,,,,,No Report
Sweden,European Region of WHO,Northern Europe,2005,21,2005-05-23,2005-05-29,,,,,,,,,,,,,,,No Report
Sweden,European Region of WHO,Northern Europe,2005,22,2005-05-30,2005-06-05,,,,,,,,,,,,,,,No Report
Sweden,European Region of WHO,Northern Europe,2005,23,2005-06-06,2005-06-12,,,,,,,,,,,,,,,No Report
Sweden,European Region of WHO,Northern Europe,2005,24,2005-06-13,2005-06-19,,,,,,,,,,,,,,,No Report
