textbox22,Textbox9
generated on 06/03/2020 18:34:04 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Colombia,Region of the Americas of WHO,Tropical South America,2005,1,2005-01-03,2005-01-09,,5,0,,0,,1,1,,,0,0,1,4,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,2,2005-01-10,2005-01-16,,6,0,,0,,0,0,,,0,0,0,6,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,3,2005-01-17,2005-01-23,,27,0,,1,,0,1,,,0,0,1,26,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,4,2005-01-24,2005-01-30,,8,0,,1,,0,1,,,0,0,1,7,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,5,2005-01-31,2005-02-06,,7,0,,0,,0,0,,,0,0,0,7,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,6,2005-02-07,2005-02-13,,7,0,,0,,0,0,,,0,0,0,7,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,7,2005-02-14,2005-02-20,,33,0,,0,,0,0,,,0,0,0,33,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,8,2005-02-21,2005-02-27,,19,0,,0,,1,1,,,0,0,1,18,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,9,2005-02-28,2005-03-06,,1,0,,0,,0,0,,,0,0,0,1,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,10,2005-03-07,2005-03-13,,29,0,,0,,0,0,,,1,1,1,28,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,11,2005-03-14,2005-03-20,,12,0,,0,,0,0,,,1,1,1,11,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,12,2005-03-21,2005-03-27,,4,0,,0,,0,0,,,0,0,0,4,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,13,2005-03-28,2005-04-03,,21,0,,0,,0,0,,,1,1,1,20,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,14,2005-04-04,2005-04-10,,18,0,,0,,0,0,,,0,0,0,18,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,15,2005-04-11,2005-04-17,,18,0,,0,,1,1,,,0,0,1,17,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,16,2005-04-18,2005-04-24,,30,0,,0,,0,0,,,1,1,1,29,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,17,2005-04-25,2005-05-01,,27,0,,0,,3,3,,,0,0,3,24,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,18,2005-05-02,2005-05-08,,24,0,,0,,0,0,,,0,0,0,24,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,19,2005-05-09,2005-05-15,,19,0,,0,,0,0,,,0,0,0,19,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,20,2005-05-16,2005-05-22,,21,0,,0,,1,1,,,0,0,1,20,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,21,2005-05-23,2005-05-29,,13,0,,0,,0,0,,,0,0,0,13,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,22,2005-05-30,2005-06-05,,19,0,,0,,1,1,,,0,0,1,18,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,23,2005-06-06,2005-06-12,,31,0,,0,,3,3,,,0,0,3,28,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,24,2005-06-13,2005-06-19,,19,0,,0,,2,2,,,0,0,2,17,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,25,2005-06-20,2005-06-26,,20,0,,0,,0,0,,,0,0,0,20,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,26,2005-06-27,2005-07-03,,7,0,,0,,0,0,,,0,0,0,7,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,27,2005-07-04,2005-07-10,,14,0,,0,,1,1,,,0,0,1,13,Sporadic
Colombia,Region of the Americas of WHO,Tropical South America,2005,28,2005-07-11,2005-07-17,,12,0,,0,,0,0,,,0,0,0,12,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,29,2005-07-18,2005-07-24,,15,0,,0,,0,0,,,0,0,0,15,No Activity
Colombia,Region of the Americas of WHO,Tropical South America,2005,30,2005-07-25,2005-07-31,,19,0,,0,,4,4,,,2,2,6,13,Local Outbreak
Colombia,Region of the Americas of WHO,Tropical South America,2005,31,2005-08-01,2005-08-07,,17,0,,0,,0,0,,,0,0,0,17,No Activity
