Origin_Region,Destination_Region,flow2000,flow2005,flow2010,flow2015,flow2019,increase_rate_2000_2005,increase_rate_2005_2010,increase_rate_2010_2015,increase_rate_2015_2019
Australia New Zealand,Australia New Zealand,419804.0,483551.0,580866.0,640591.0,667382.0,15.184943449800384,20.12507470773507,10.282061611456,4.182231720395698
Australia New Zealand,Caribbean,392.0,416.0,449.0,480.0,512.0,6.122448979591836,7.9326923076923075,6.904231625835189,6.666666666666667
Australia New Zealand,Central America,728.0,792.0,987.0,1079.0,1116.0,8.791208791208792,24.62121212121212,9.321175278622087,3.429101019462465
Australia New Zealand,Central Asia,117.0,112.0,111.0,109.0,108.0,-4.273504273504273,-0.8928571428571428,-1.8018018018018018,-0.9174311926605505
Australia New Zealand,Eastern Africa,134.0,196.0,310.0,283.0,349.0,46.26865671641791,58.16326530612245,-8.709677419354838,23.32155477031802
Australia New Zealand,Eastern Asia,28115.0,30310.0,34821.0,37196.0,42267.0,7.807220345011559,14.88287693830419,6.820596766319175,13.633186364125175
Australia New Zealand,Eastern Europe,2844.0,3319.0,3783.0,4236.0,4833.0,16.70182841068917,13.980114492316964,11.9746233148295,14.093484419263454
Australia New Zealand,Melanesia,16506.0,16663.0,15001.0,15117.0,15289.0,0.9511692717799588,-9.974194322751005,0.7732817812145857,1.1377918899252497
Australia New Zealand,Micronesia,319.0,313.0,161.0,177.0,184.0,-1.8808777429467085,-48.56230031948881,9.937888198757763,3.954802259887006
Australia New Zealand,Middle Africa,16.0,12.0,12.0,10.0,11.0,-25.0,0.0,-16.666666666666664,10.0
Australia New Zealand,Northern Africa,963.0,1098.0,1193.0,1139.0,1350.0,14.018691588785046,8.652094717668488,-4.526404023470243,18.525021949078138
Australia New Zealand,Northern America,114128.0,125021.0,133706.0,154318.0,166384.0,9.544546474134306,6.946832932067412,15.415912524494038,7.818919374279086
Australia New Zealand,Northern Europe,173869.0,181273.0,203236.0,226637.0,257917.0,4.258378434338496,12.11597976532633,11.51420024011494,13.80180641289816
Australia New Zealand,Polynesia,5452.0,5699.0,6025.0,5517.0,5458.0,4.530447542186353,5.72030180733462,-8.431535269709544,-1.0694217872031901
Australia New Zealand,South America,3490.0,4138.0,5084.0,6683.0,8114.0,18.56733524355301,22.861285645239246,31.451612903225808,21.41253927876702
Australia New Zealand,South Eastern Asia,20603.0,27283.0,37557.0,42368.0,41413.0,32.422462748143474,37.65714914049042,12.809862342572623,-2.2540596676737157
Australia New Zealand,Southern Africa,5249.0,6589.0,9934.0,17155.0,19159.0,25.52867212802439,50.76642889664592,72.68975236561305,11.681725444476829
Australia New Zealand,Southern Asia,1079.0,1166.0,1393.0,1391.0,1392.0,8.063021316033364,19.46826758147513,-0.14357501794687724,0.07189072609633358
Australia New Zealand,Southern Europe,38256.0,46999.0,57137.0,58654.0,62930.0,22.853931409452112,21.570671716419497,2.655022139769326,7.2902103863334125
Australia New Zealand,Western Africa,19.0,27.0,27.0,45.0,47.0,42.10526315789473,0.0,66.66666666666666,4.444444444444445
Australia New Zealand,Western Asia,7414.0,8574.0,10412.0,10022.0,11090.0,15.646074993256,21.436902262654538,-3.74567806377257,10.656555577728996
Australia New Zealand,Western Europe,35643.0,43104.0,48635.0,52299.0,57748.0,20.932581432539347,12.831755753526355,7.533669168294438,10.418937264574849
Caribbean,Australia New Zealand,4269.0,4679.0,5229.0,6069.0,6494.0,9.604122745373624,11.754648429151528,16.06425702811245,7.002801120448179
Caribbean,Caribbean,566287.0,629381.0,669162.0,841542.0,863937.0,11.14170023327394,6.320654738544697,25.760578155962232,2.6611862509536066
Caribbean,Central America,29325.0,29876.0,38053.0,42150.0,42696.0,1.8789428815004263,27.36979515330031,10.766562426089928,1.295373665480427
Caribbean,Central Asia,26.0,24.0,23.0,22.0,21.0,-7.6923076923076925,-4.166666666666666,-4.3478260869565215,-4.545454545454546
Caribbean,Eastern Africa,50.0,52.0,55.0,59.0,59.0,4.0,5.769230769230769,7.2727272727272725,0.0
Caribbean,Eastern Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caribbean,Eastern Europe,3858.0,4082.0,4223.0,4424.0,4743.0,5.806117159149818,3.454189122978932,4.759649538242956,7.210669077757685
Caribbean,Melanesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caribbean,Micronesia,1606.0,3473.0,4933.0,4861.0,5063.0,116.25155666251557,42.03858335732796,-1.4595580782485302,4.15552355482411
Caribbean,Middle Africa,266.0,169.0,403.0,536.0,552.0,-36.46616541353384,138.46153846153845,33.002481389578165,2.9850746268656714
Caribbean,Northern Africa,24.0,28.0,30.0,21.0,29.0,16.666666666666664,7.142857142857142,-30.0,38.095238095238095
Caribbean,Northern America,4875871.0,5201223.0,5742805.0,6304315.0,6825029.0,6.672694991315398,10.412589500584767,9.777626090386143,8.259644386424219
Caribbean,Northern Europe,244318.0,241333.0,253776.0,273963.0,311158.0,-1.221768351083424,5.155946347992193,7.954652922262152,13.576650861612698
Caribbean,Polynesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caribbean,South America,70773.0,74346.0,79836.0,121905.0,154152.0,5.04853545843754,7.384391897344847,52.69427326018338,26.452565522332964
Caribbean,South Eastern Asia,222.0,204.0,223.0,143.0,144.0,-8.108108108108109,9.313725490196079,-35.874439461883405,0.6993006993006993
Caribbean,Southern Africa,2348.0,2255.0,2777.0,4010.0,4413.0,-3.960817717206133,23.148558758314856,44.40043212099388,10.049875311720697
Caribbean,Southern Asia,8.0,18.0,38.0,37.0,37.0,125.0,111.11111111111111,-2.631578947368421,0.0
Caribbean,Southern Europe,117839.0,202899.0,320385.0,372672.0,400265.0,72.18323305527032,57.90368607040941,16.32005243691184,7.404097973553152
Caribbean,Western Africa,229.0,528.0,4422.0,9457.0,9505.0,130.56768558951967,737.5,113.86250565355043,0.5075605371682352
Caribbean,Western Asia,206.0,227.0,265.0,258.0,308.0,10.194174757281553,16.740088105726873,-2.6415094339622645,19.379844961240313
Caribbean,Western Europe,150685.0,231194.0,240202.0,259577.0,286014.0,53.42867571423832,3.8962948865454985,8.066127675872806,10.184646559595032
Central America,Australia New Zealand,13770.0,14530.0,16550.0,19290.0,21664.0,5.519244734931009,13.902271163110806,16.555891238670696,12.30689476412649
Central America,Caribbean,18851.0,17438.0,15365.0,15336.0,14585.0,-7.4956235743461885,-11.88783117329969,-0.18874064432150991,-4.89697443922796
Central America,Central America,450936.0,384958.0,572412.0,623832.0,641408.0,-14.631344581049197,48.694662794382765,8.983040187836732,2.8174252042216494
Central America,Central Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central America,Eastern Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central America,Eastern Asia,1740.0,1845.0,1956.0,2141.0,2416.0,6.0344827586206895,6.016260162601626,9.458077709611452,12.844465203176087
Central America,Eastern Europe,1032.0,1359.0,1669.0,2146.0,2751.0,31.686046511627907,22.810890360559235,28.579988016776515,28.191985088536814
Central America,Melanesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central America,Micronesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central America,Middle Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central America,Northern Africa,730.0,823.0,899.0,907.0,1033.0,12.73972602739726,9.234507897934387,0.8898776418242491,13.891951488423373
Central America,Northern America,11595540.0,13240748.0,15323326.0,15308301.0,15414853.0,14.188282736293436,15.728552495674716,-0.09805312501998587,0.6960406644734775
Central America,Northern Europe,16753.0,21295.0,24270.0,30121.0,34724.0,27.111562108279113,13.970415590514204,24.107952204367532,15.281697154808938
Central America,Polynesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central America,South America,44387.0,45785.0,49469.0,60127.0,66337.0,3.149570820285218,8.04630337446762,21.544805837999554,10.32813877293063
Central America,South Eastern Asia,410.0,330.0,215.0,218.0,224.0,-19.51219512195122,-34.84848484848485,1.3953488372093024,2.7522935779816518
Central America,Southern Africa,229.0,300.0,468.0,838.0,935.0,31.004366812227076,56.00000000000001,79.05982905982906,11.575178997613365
Central America,Southern Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central America,Southern Europe,44113.0,82080.0,136593.0,166061.0,196761.0,86.06759912044069,66.41447368421053,21.573579905266012,18.487182420917613
Central America,Western Africa,6.0,5.0,3.0,430.0,407.0,-16.666666666666664,-40.0,14233.333333333334,-5.348837209302325
Central America,Western Asia,2169.0,2483.0,2845.0,2918.0,2911.0,14.476717381281698,14.579138139347563,2.5659050966608086,-0.23989033584647018
Central America,Western Europe,40458.0,49438.0,61250.0,68910.0,76826.0,22.19585743239903,23.892552287713904,12.506122448979593,11.487447395153099
Central Asia,Australia New Zealand,1050.0,1800.0,3040.0,4510.0,5298.0,71.42857142857143,68.88888888888889,48.35526315789473,17.47228381374723
Central Asia,Caribbean,4.0,7.0,10.0,10.0,10.0,75.0,42.857142857142854,0.0,0.0
Central Asia,Central America,5.0,4.0,6.0,6.0,6.0,-20.0,50.0,0.0,0.0
Central Asia,Central Asia,423916.0,462141.0,459911.0,470242.0,482760.0,9.017116598571414,-0.48253671498525347,2.246304176242795,2.6620335912147364
Central Asia,Eastern Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Asia,Eastern Asia,6156.0,11867.0,22165.0,27537.0,28041.0,92.7712800519818,86.77846127917755,24.236408752537784,1.8302647347205578
Central Asia,Eastern Europe,5219532.0,5395342.0,5501455.0,5597008.0,5603254.0,3.3683096492175926,1.9667520613151122,1.7368677922476872,0.11159533808063164
Central Asia,Melanesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Asia,Micronesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Asia,Middle Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Asia,Northern Africa,1955.0,2191.0,2391.0,2485.0,4476.0,12.07161125319693,9.128251939753538,3.931409452112087,80.12072434607646
Central Asia,Northern America,45192.0,57014.0,71156.0,126795.0,136724.0,26.159497256151532,24.804433998666994,78.19298442857946,7.830750423912615
Central Asia,Northern Europe,33388.0,38050.0,38755.0,40172.0,41672.0,13.963100515155148,1.8528252299605783,3.6563024125919235,3.733944040625311
Central Asia,Polynesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Asia,South America,30.0,61.0,145.0,184.0,215.0,103.33333333333334,137.70491803278688,26.89655172413793,16.847826086956523
Central Asia,South Eastern Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Asia,Southern Africa,0.0,20.0,31.0,54.0,59.0,0.0,55.00000000000001,74.19354838709677,9.25925925925926
Central Asia,Southern Asia,37519.0,32670.0,32426.0,22885.0,11811.0,-12.924118446653695,-0.7468625650443832,-29.42391907728366,-48.38977496176535
Central Asia,Southern Europe,32855.0,40235.0,49844.0,49485.0,50007.0,22.462334500076093,23.882192121287435,-0.7202471711740631,1.0548651106395877
Central Asia,Western Africa,0.0,0.0,1501.0,1861.0,2069.0,0.0,0.0,23.984010659560294,11.176786673831273
Central Asia,Western Asia,97846.0,93415.0,89610.0,91096.0,95089.0,-4.528544856202604,-4.073221645346036,1.658297065059703,4.383287959954334
Central Asia,Western Europe,562220.0,782347.0,959787.0,1000529.0,1107365.0,39.15317847106115,22.680472987050504,4.244900170558676,10.677951363728587
Eastern Africa,Australia New Zealand,65437.0,93117.0,128743.0,161525.0,183667.0,42.30022769992512,38.25939409560016,25.46313197610744,13.70809472217923
