Region,Influenza2005,Influenza2010,Influenza2015,Influenza2019,UN_Region
Australia New Zealand,981.0,1578.0,8724.0,14959.0,Oceania
Caribbean,2.0,1579.0,1116.0,2314.0,Latin America and The Caribbean
Central America,300.0,10278.0,2772.0,10141.0,Latin America and The Caribbean
Central Asia,0.0,18.0,788.0,818.0,Central and Southern Asia
Eastern Africa,170.0,2161.0,1143.0,2487.0,Sub_Saharan Africa
Eastern Asia,16316.0,54585.0,76824.0,135164.0,Eastern and South Eastern Asia
Eastern Europe,693.0,7585.0,17852.0,26695.0,Europe and Northern America
Melanesia,34.0,123.0,337.0,745.0,Oceania
Micronesia,0.0,0.0,0.0,0.0,Oceania
Middle Africa,0.0,780.0,735.0,439.0,Sub_Saharan Africa
Northern Africa,233.0,3731.0,2479.0,3496.0,Northern Africa and Western Asia
Northern America,24042.0,19231.0,117353.0,310592.0,Europe and Northern America
Northern Europe,4207.0,8111.0,46181.0,100961.0,Europe and Northern America
Polynesia,0.0,0.0,0.0,0.0,Oceania
South America,2551.0,10363.0,8135.0,22091.0,Latin America and The Caribbean
South Eastern Asia,1047.0,10230.0,3853.0,6985.0,Eastern and South Eastern Asia
Southern Africa,579.0,1333.0,871.0,1164.0,Sub_Saharan Africa
Southern Asia,22.0,7771.0,13057.0,24780.0,Central and Southern Asia
Southern Europe,1707.0,3379.0,20684.0,43629.0,Europe and Northern America
Western Africa,13.0,2815.0,1579.0,3397.0,Sub_Saharan Africa
Western Asia,234.0,1628.0,11829.0,24844.0,Northern Africa and Western Asia
Western Europe,3692.0,2884.0,43522.0,50623.0,Europe and Northern America
