Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
China,Western Pacific Region of WHO,Eastern Asia,2015,1,2014/12/29,2015/1/4,13282,8370,0,9,1985,0,6,2000,356,3,41,400,2400,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,2,2015/1/5,2015/1/11,14001,10194,0,25,2620,0,6,2651,635,13,15,663,3314,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,3,2015/1/12,2015/1/18,14681,11088,0,17,2394,0,4,2415,828,14,62,904,3319,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,4,2015/1/19,2015/1/25,15738,11085,0,16,2657,0,16,2690,890,22,69,981,3671,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,5,2015/1/26,2015/2/1,16217,10487,0,24,2747,0,3,2774,833,36,69,938,3712,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,6,2015/2/2,2015/2/8,15712,9912,0,15,2240,0,1,2256,793,16,109,918,3174,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,7,2015/2/9,2015/2/15,15807,9588,0,10,1674,0,1,1685,831,24,131,986,2671,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,8,2015/2/16,2015/2/22,12114,7481,0,13,1267,0,0,1280,675,14,93,782,2062,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,9,2015/2/23,2015/3/1,14534,9067,0,21,1302,0,3,1327,837,22,121,980,2307,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,10,2015/3/2,2015/3/8,14971,10513,0,43,1057,0,0,1100,833,20,115,968,2068,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,11,2015/3/9,2015/3/15,14689,10182,0,35,917,0,0,952,1005,26,144,1175,2127,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,12,2015/3/16,2015/3/22,14847,9276,0,26,770,0,0,796,877,27,230,1134,1930,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,13,2015/3/23,2015/3/29,14213,8803,0,17,587,0,1,605,844,23,251,1118,1723,,Local Outbreak
China,Western Pacific Region of WHO,Eastern Asia,2015,14,2015/3/30,2015/4/5,12127,8804,0,13,369,0,3,385,788,21,148,957,1342,,Local Outbreak
