Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,1,2014/12/29,2015/1/4,189,189,0,8,8,0,0,16,0,0,7,7,23,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,2,2015/1/5,2015/1/11,217,217,0,22,10,0,0,32,0,0,11,11,43,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,3,2015/1/12,2015/1/18,198,198,0,13,7,0,0,20,0,0,14,14,34,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,4,2015/1/19,2015/1/25,219,219,0,36,12,0,0,48,0,0,19,19,67,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,5,2015/1/26,2015/2/1,310,310,0,49,37,0,0,86,0,0,21,21,107,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,6,2015/2/2,2015/2/8,413,413,0,42,48,0,0,90,0,0,37,37,127,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,7,2015/2/9,2015/2/15,365,365,0,47,40,0,0,87,0,0,18,18,105,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,8,2015/2/16,2015/2/22,477,477,0,40,55,0,0,95,0,0,34,34,129,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,9,2015/2/23,2015/3/1,480,480,0,26,33,0,0,59,0,0,18,18,77,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,10,2015/3/2,2015/3/8,627,627,0,23,67,0,0,90,0,0,19,19,109,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,11,2015/3/9,2015/3/15,462,462,0,15,28,0,0,43,0,0,33,33,76,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,12,2015/3/16,2015/3/22,324,324,0,13,12,0,0,25,0,0,22,22,47,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,13,2015/3/23,2015/3/29,281,281,0,6,17,0,0,23,0,0,21,21,44,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,14,2015/3/30,2015/4/5,217,217,0,8,3,0,0,11,0,0,20,20,31,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,15,2015/4/6,2015/4/12,233,233,0,6,1,0,0,7,0,0,25,25,32,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,16,2015/4/13,2015/4/19,175,175,0,5,1,0,0,6,0,0,17,17,23,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,17,2015/4/20,2015/4/26,145,145,0,1,3,0,0,4,0,0,17,17,21,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,18,2015/4/27,2015/5/3,121,121,0,2,1,0,0,3,0,0,10,10,13,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,19,2015/5/4,2015/5/10,136,136,0,3,0,0,0,3,0,0,13,13,16,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,20,2015/5/11,2015/5/17,78,78,0,0,1,0,0,1,0,0,9,9,10,,Local Outbreak
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,21,2015/5/18,2015/5/24,81,81,0,0,0,0,0,0,0,0,8,8,8,,Sporadic
Iran (Islamic Republic of),Eastern Mediterranean Region of WHO,Southern Asia,2015,22,2015/5/25,2015/5/31,76,76,0,0,0,0,0,0,0,0,2,2,2,,Sporadic
