Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Japan,Western Pacific Region of WHO,Eastern Asia,2015,1,2014/12/29,2015/1/4,,,0,0,71,0,0,71,2,0,0,2,73,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,2,2015/1/5,2015/1/11,,,0,2,594,0,0,596,15,0,0,15,611,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,3,2015/1/12,2015/1/18,,,0,2,479,0,0,481,19,0,1,20,501,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,4,2015/1/19,2015/1/25,,,0,3,483,0,0,486,43,0,1,44,530,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,5,2015/1/26,2015/2/1,,,0,4,373,0,0,377,34,1,0,35,412,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,6,2015/2/2,2015/2/8,,,0,4,273,0,0,277,30,3,0,33,310,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,7,2015/2/9,2015/2/15,,,0,5,173,0,0,178,25,0,1,26,204,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,8,2015/2/16,2015/2/22,,,0,4,209,0,0,213,45,1,3,49,262,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,9,2015/2/23,2015/3/1,,,0,5,113,0,0,118,40,4,2,46,164,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,10,2015/3/2,2015/3/8,,,0,0,94,0,0,94,41,6,9,56,150,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,11,2015/3/9,2015/3/15,,,0,5,79,0,0,84,42,4,14,60,144,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,12,2015/3/16,2015/3/22,,,0,2,67,0,0,69,59,8,10,77,146,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,13,2015/3/23,2015/3/29,,,0,2,36,0,0,38,53,4,2,59,97,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,14,2015/3/30,2015/4/5,,,0,1,27,0,0,28,36,4,2,42,70,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,15,2015/4/6,2015/4/12,,,0,1,14,0,0,15,39,2,1,42,57,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,16,2015/4/13,2015/4/19,,,0,2,22,0,0,24,49,9,1,59,83,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,17,2015/4/20,2015/4/26,,,0,1,12,0,0,13,42,7,2,51,64,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,18,2015/4/27,2015/5/3,,,0,0,5,0,0,5,18,2,0,20,25,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,19,2015/5/4,2015/5/10,,,0,0,2,0,0,2,9,2,0,11,13,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,20,2015/5/11,2015/5/17,,,0,0,3,0,0,3,17,1,1,19,22,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,21,2015/5/18,2015/5/24,,,0,0,1,0,0,1,17,0,0,17,18,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,22,2015/5/25,2015/5/31,,,0,0,2,0,0,2,7,1,0,8,10,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,23,2015/6/1,2015/6/7,,,0,0,1,0,0,1,10,0,0,10,11,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,24,2015/6/8,2015/6/14,,,0,0,2,0,0,2,6,0,0,6,8,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,25,2015/6/15,2015/6/21,,,0,0,2,0,0,2,5,0,0,5,7,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,26,2015/6/22,2015/6/28,,,0,0,6,0,0,6,1,0,0,1,7,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,27,2015/6/29,2015/7/5,,,0,0,1,0,0,1,0,2,0,2,3,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,28,2015/7/6,2015/7/12,,,0,0,5,0,0,5,0,0,0,0,5,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,29,2015/7/13,2015/7/19,,,0,1,0,0,0,1,0,0,0,0,1,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,30,2015/7/20,2015/7/26,,,0,0,1,0,0,1,0,0,0,0,1,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,31,2015/7/27,2015/8/2,,,0,0,1,0,0,1,2,1,0,3,4,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,32,2015/8/3,2015/8/9,,,0,0,2,0,0,2,1,0,0,1,3,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,33,2015/8/10,2015/8/16,,,0,0,2,0,0,2,1,0,0,1,3,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,34,2015/8/17,2015/8/23,,,0,0,2,0,0,2,3,0,0,3,5,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,35,2015/8/24,2015/8/30,,,0,3,1,0,0,4,0,0,1,1,5,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,36,2015/8/31,2015/9/6,,,0,5,11,0,0,16,1,0,0,1,17,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,37,2015/9/7,2015/9/13,,,0,2,3,0,0,5,0,1,0,1,6,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,38,2015/9/14,2015/9/20,,,0,6,1,0,0,7,0,0,0,0,7,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,39,2015/9/21,2015/9/27,,,0,2,0,0,0,2,1,0,0,1,3,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,40,2015/9/28,2015/10/4,,,0,2,5,0,0,7,2,1,0,3,10,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,41,2015/10/5,2015/10/11,,,0,0,11,0,0,11,2,0,0,2,13,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,42,2015/10/12,2015/10/18,,,0,0,5,0,0,5,3,0,0,3,8,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,43,2015/10/19,2015/10/25,,,0,13,10,0,0,23,6,4,0,10,33,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,44,2015/10/26,2015/11/1,,,0,2,4,0,0,6,1,3,0,4,10,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,45,2015/11/2,2015/11/8,,,0,3,14,0,0,17,4,1,0,5,22,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,46,2015/11/9,2015/11/15,,,0,2,7,0,0,9,5,9,1,15,24,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,47,2015/11/16,2015/11/22,,,0,10,11,0,0,21,5,4,0,9,30,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,48,2015/11/23,2015/11/29,,,0,5,12,0,0,17,4,1,0,5,22,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2015,49,2015/11/30,2015/12/6,,,0,14,15,0,0,29,4,5,0,9,38,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,50,2015/12/7,2015/12/13,,,0,23,19,0,0,42,2,1,0,3,45,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,51,2015/12/14,2015/12/20,,,0,20,16,0,0,36,17,2,0,19,55,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,52,2015/12/21,2015/12/27,,,0,33,26,0,0,59,14,5,0,19,78,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2015,53,2015/12/28,2016/1/3,,,0,31,7,0,0,38,5,6,0,11,49,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,1,2016/1/4,2016/1/10,,,0,134,28,0,0,162,18,19,1,38,200,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,2,2016/1/11,2016/1/17,,,0,276,35,0,1,312,24,53,4,81,393,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,3,2016/1/18,2016/1/24,,,0,414,78,0,2,494,91,148,9,248,742,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,4,2016/1/25,2016/1/31,,,0,452,45,0,0,497,88,110,5,203,700,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,5,2016/2/1,2016/2/7,,,0,497,40,0,0,537,109,128,8,245,782,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,6,2016/2/8,2016/2/14,,,0,311,24,0,1,336,80,87,8,175,511,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,7,2016/2/15,2016/2/21,,,0,291,26,0,0,317,88,88,11,187,504,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,8,2016/2/22,2016/2/28,,,0,226,25,0,0,251,106,73,9,188,439,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,9,2016/2/29,2016/3/6,,,0,194,15,0,0,209,137,82,15,234,443,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,10,2016/3/7,2016/3/13,,,0,136,18,0,0,154,119,76,13,208,362,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,11,2016/3/14,2016/3/20,,,0,100,12,0,0,112,96,75,12,183,295,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,12,2016/3/21,2016/3/27,,,0,49,13,0,0,62,77,59,7,143,205,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,13,2016/3/28,2016/4/3,,,0,62,9,0,0,71,81,54,6,141,212,,Widespread Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,14,2016/4/4,2016/4/10,,,0,56,13,0,0,69,124,64,6,194,263,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,15,2016/4/11,2016/4/17,,,0,41,9,0,0,50,112,42,5,159,209,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,16,2016/4/18,2016/4/24,,,0,16,8,0,0,24,126,42,7,175,199,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,17,2016/4/25,2016/5/1,,,0,16,3,0,0,19,67,22,1,90,109,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,18,2016/5/2,2016/5/8,,,0,15,2,0,0,17,28,16,2,46,63,,Regional Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,19,2016/5/9,2016/5/15,,,0,6,3,0,1,10,29,28,2,59,69,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,20,2016/5/16,2016/5/22,,,0,2,0,0,0,2,14,9,5,28,30,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,21,2016/5/23,2016/5/29,,,0,1,2,0,0,3,15,7,1,23,26,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,22,2016/5/30,2016/6/5,,,0,1,5,0,0,6,4,1,0,5,11,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,23,2016/6/6,2016/6/12,,,0,0,1,0,0,1,2,1,1,4,5,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,24,2016/6/13,2016/6/19,,,0,0,2,0,0,2,5,1,0,6,8,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,25,2016/6/20,2016/6/26,,,0,1,6,0,0,7,1,1,0,2,9,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,26,2016/6/27,2016/7/3,,,0,0,0,0,0,0,2,0,0,2,2,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,27,2016/7/4,2016/7/10,,,0,0,4,0,0,4,1,0,0,1,5,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,28,2016/7/11,2016/7/17,,,0,1,4,0,0,5,1,1,0,2,7,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,29,2016/7/18,2016/7/24,,,0,0,0,0,0,0,1,0,0,1,1,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,30,2016/7/25,2016/7/31,,,0,1,6,0,0,7,0,0,0,0,7,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,31,2016/8/1,2016/8/7,,,0,4,3,0,0,7,0,0,0,0,7,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,32,2016/8/8,2016/8/14,,,0,0,8,0,1,9,0,0,0,0,9,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,33,2016/8/15,2016/8/21,,,0,2,2,0,0,4,0,0,1,1,5,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,34,2016/8/22,2016/8/28,,,0,1,2,0,0,3,0,0,0,0,3,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,35,2016/8/29,2016/9/4,,,0,0,3,0,1,4,0,0,0,0,4,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,36,2016/9/5,2016/9/11,,,0,1,18,0,0,19,0,0,0,0,19,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,37,2016/9/12,2016/9/18,,,0,8,16,0,0,24,0,0,0,0,24,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,38,2016/9/19,2016/9/25,,,0,0,33,0,0,33,0,1,0,1,34,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,39,2016/9/26,2016/10/2,,,0,5,16,0,0,21,1,1,0,2,23,,Sporadic
Japan,Western Pacific Region of WHO,Eastern Asia,2016,40,2016/10/3,2016/10/9,,,0,2,24,0,0,26,1,1,0,2,28,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,41,2016/10/10,2016/10/16,,,0,5,29,0,0,34,0,0,0,0,34,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,42,2016/10/17,2016/10/23,,,0,4,52,0,1,57,0,1,0,1,58,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,43,2016/10/24,2016/10/30,,,0,2,79,0,0,81,1,0,0,1,82,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,44,2016/10/31,2016/11/6,,,0,10,81,0,0,91,0,0,0,0,91,,Local Outbreak
Japan,Western Pacific Region of WHO,Eastern Asia,2016,45,2016/11/7,2016/11/13,,,0,11,91,0,0,102,0,2,0,2,104,,Local Outbreak
